entity_id,entity_name,entity_type,description,image_path,audio_path,video_path,source_node_id,raw_type
E0057,排量平均值: 18.6762,施工参数,排量平均值: 18.6762 为施工参数特征。,,,,segment_stats:红页L1HF:10:排量:mean,stat
E0058,排量方差: 92.1738,施工参数,排量方差: 92.1738 为施工参数特征。,,,,segment_stats:红页L1HF:10:排量:var,stat
E0059,施工泵压平均值: 72.1342,施工参数,施工泵压平均值: 72.1342 为施工参数特征。,,,,segment_stats:红页L1HF:10:施工泵压:mean,stat
E0060,施工泵压方差: 380.947,施工参数,施工泵压方差: 380.947 为施工参数特征。,,,,segment_stats:红页L1HF:10:施工泵压:var,stat
E0061,施工情况 加砂前,施工阶段,施工情况 加砂前 为施工阶段实体。,,,,condition:红页L1HF:10:加砂前,condition
E0062,施工时间 2024-01-09 09:59:00,时间点,施工时间 2024-01-09 09:59:00 为时间点实体。,,,,condition_time:红页L1HF:10:加砂前,time
E0063,砂比平均值: 无数据,施工参数,砂比平均值: 无数据 为施工参数特征。,,,,condition_stats:红页L1HF:10:加砂前:砂比:mean,stat
E0064,砂比方差: 无数据,施工参数,砂比方差: 无数据 为施工参数特征。,,,,condition_stats:红页L1HF:10:加砂前:砂比:var,stat
E0065,排量平均值: 13.351,施工参数,排量平均值: 13.351 为施工参数特征。,,,,condition_stats:红页L1HF:10:加砂前:排量:mean,stat
E0066,排量方差: 82.6414,施工参数,排量方差: 82.6414 为施工参数特征。,,,,condition_stats:红页L1HF:10:加砂前:排量:var,stat
E0067,施工泵压平均值: 55.6879,施工参数,施工泵压平均值: 55.6879 为施工参数特征。,,,,condition_stats:红页L1HF:10:加砂前:施工泵压:mean,stat
E0068,施工泵压方差: 341.0919,施工参数,施工泵压方差: 341.0919 为施工参数特征。,,,,condition_stats:红页L1HF:10:加砂前:施工泵压:var,stat
E0069,施工情况 加砂中,施工阶段,施工情况 加砂中 为施工阶段实体。,,,,condition:红页L1HF:10:加砂中,condition
E0070,施工时间 2024-01-09 10:05:50,时间点,施工时间 2024-01-09 10:05:50 为时间点实体。,,,,condition_time:红页L1HF:10:加砂中,time
E0071,砂比平均值: 9.3981,施工参数,砂比平均值: 9.3981 为施工参数特征。,,,,condition_stats:红页L1HF:10:加砂中:砂比:mean,stat
E0072,砂比方差: 6.6821,施工参数,砂比方差: 6.6821 为施工参数特征。,,,,condition_stats:红页L1HF:10:加砂中:砂比:var,stat
E0073,排量平均值: 23.6559,施工参数,排量平均值: 23.6559 为施工参数特征。,,,,condition_stats:红页L1HF:10:加砂中:排量:mean,stat
E0074,排量方差: 2.6753,施工参数,排量方差: 2.6753 为施工参数特征。,,,,condition_stats:红页L1HF:10:加砂中:排量:var,stat
E0075,施工泵压平均值: 82.179,施工参数,施工泵压平均值: 82.179 为施工参数特征。,,,,condition_stats:红页L1HF:10:加砂中:施工泵压:mean,stat
E0076,施工泵压方差: 32.7494,施工参数,施工泵压方差: 32.7494 为施工参数特征。,,,,condition_stats:红页L1HF:10:加砂中:施工泵压:var,stat
E0077,工况 缝内暂堵,工况事件,工况 缝内暂堵 为工况事件实体。,,,,worktype:红页L1HF:10:加砂中:缝内暂堵,worktype
E0078,工况时间 2024-01-09 10:23:30,时间点,工况时间 2024-01-09 10:23:30 为时间点实体。,,,,worktype_time:红页L1HF:10:加砂中:缝内暂堵,time
E0079,砂比平均值: 7.2755,施工参数,砂比平均值: 7.2755 为施工参数特征。,,,,worktype_stats:红页L1HF:10:加砂中:缝内暂堵:砂比:mean,stat
E0080,砂比方差: 4.8161,施工参数,砂比方差: 4.8161 为施工参数特征。,,,,worktype_stats:红页L1HF:10:加砂中:缝内暂堵:砂比:var,stat
E0081,排量平均值: 24.0287,施工参数,排量平均值: 24.0287 为施工参数特征。,,,,worktype_stats:红页L1HF:10:加砂中:缝内暂堵:排量:mean,stat
E0082,排量方差: 0.0005,施工参数,排量方差: 0.0005 为施工参数特征。,,,,worktype_stats:红页L1HF:10:加砂中:缝内暂堵:排量:var,stat
E0083,施工泵压平均值: 80.2892,施工参数,施工泵压平均值: 80.2892 为施工参数特征。,,,,worktype_stats:红页L1HF:10:加砂中:缝内暂堵:施工泵压:mean,stat
E0084,施工泵压方差: 13.6051,施工参数,施工泵压方差: 13.6051 为施工参数特征。,,,,worktype_stats:红页L1HF:10:加砂中:缝内暂堵:施工泵压:var,stat
E0085,当前建议: 无建议,处置建议,当前建议: 无建议 为处置建议实体。,,,,suggestion:红页L1HF:10:加砂中:缝内暂堵,suggestion
E0086,工况 缝口暂堵,工况事件,工况 缝口暂堵 为工况事件实体。,,,,worktype:红页L1HF:10:加砂中:缝口暂堵,worktype
E0087,工况时间 2024-01-09 10:43:30,时间点,工况时间 2024-01-09 10:43:30 为时间点实体。,,,,worktype_time:红页L1HF:10:加砂中:缝口暂堵,time
E0088,砂比平均值: 8.0,施工参数,砂比平均值: 8.0 为施工参数特征。,,,,worktype_stats:红页L1HF:10:加砂中:缝口暂堵:砂比:mean,stat
E0089,砂比方差: 5.1972,施工参数,砂比方差: 5.1972 为施工参数特征。,,,,worktype_stats:红页L1HF:10:加砂中:缝口暂堵:砂比:var,stat
E0090,排量平均值: 21.7838,施工参数,排量平均值: 21.7838 为施工参数特征。,,,,worktype_stats:红页L1HF:10:加砂中:缝口暂堵:排量:mean,stat
E0091,排量方差: 7.8297,施工参数,排量方差: 7.8297 为施工参数特征。,,,,worktype_stats:红页L1HF:10:加砂中:缝口暂堵:排量:var,stat
E0092,施工泵压平均值: 76.8416,施工参数,施工泵压平均值: 76.8416 为施工参数特征。,,,,worktype_stats:红页L1HF:10:加砂中:缝口暂堵:施工泵压:mean,stat
E0093,施工泵压方差: 90.8287,施工参数,施工泵压方差: 90.8287 为施工参数特征。,,,,worktype_stats:红页L1HF:10:加砂中:缝口暂堵:施工泵压:var,stat
E0094,当前建议: 无建议,处置建议,当前建议: 无建议 为处置建议实体。,,,,suggestion:红页L1HF:10:加砂中:缝口暂堵,suggestion
E0095,工况 主缝延伸,工况事件,工况 主缝延伸 为工况事件实体。,,,,worktype:红页L1HF:10:加砂中:主缝延伸,worktype
E0096,工况时间 2024-01-09 11:41:10,时间点,工况时间 2024-01-09 11:41:10 为时间点实体。,,,,worktype_time:红页L1HF:10:加砂中:主缝延伸,time
E0097,砂比平均值: 10.4547,施工参数,砂比平均值: 10.4547 为施工参数特征。,,,,worktype_stats:红页L1HF:10:加砂中:主缝延伸:砂比:mean,stat
E0098,砂比方差: 5.7079,施工参数,砂比方差: 5.7079 为施工参数特征。,,,,worktype_stats:红页L1HF:10:加砂中:主缝延伸:砂比:var,stat
E0099,排量平均值: 24.0767,施工参数,排量平均值: 24.0767 为施工参数特征。,,,,worktype_stats:红页L1HF:10:加砂中:主缝延伸:排量:mean,stat
E0100,排量方差: 0.0005,施工参数,排量方差: 0.0005 为施工参数特征。,,,,worktype_stats:红页L1HF:10:加砂中:主缝延伸:排量:var,stat
E0101,施工泵压平均值: 84.2148,施工参数,施工泵压平均值: 84.2148 为施工参数特征。,,,,worktype_stats:红页L1HF:10:加砂中:主缝延伸:施工泵压:mean,stat
E0102,施工泵压方差: 5.8633,施工参数,施工泵压方差: 5.8633 为施工参数特征。,,,,worktype_stats:红页L1HF:10:加砂中:主缝延伸:施工泵压:var,stat
E0103,当前建议: 保持当前措施,处置建议,当前建议: 保持当前措施 为处置建议实体。,,,,suggestion:红页L1HF:10:加砂中:主缝延伸,suggestion
E0104,施工情况 加砂后,施工阶段,施工情况 加砂后 为施工阶段实体。,,,,condition:红页L1HF:10:加砂后,condition
E0105,施工时间 2024-01-09 12:06:00,时间点,施工时间 2024-01-09 12:06:00 为时间点实体。,,,,condition_time:红页L1HF:10:加砂后,time
E0106,砂比平均值: 无数据,施工参数,砂比平均值: 无数据 为施工参数特征。,,,,condition_stats:红页L1HF:10:加砂后:砂比:mean,stat
E0107,砂比方差: 无数据,施工参数,砂比方差: 无数据 为施工参数特征。,,,,condition_stats:红页L1HF:10:加砂后:砂比:var,stat
E0108,排量平均值: 2.4341,施工参数,排量平均值: 2.4341 为施工参数特征。,,,,condition_stats:红页L1HF:10:加砂后:排量:mean,stat
E0109,排量方差: 49.4261,施工参数,排量方差: 49.4261 为施工参数特征。,,,,condition_stats:红页L1HF:10:加砂后:排量:var,stat
E0110,施工泵压平均值: 40.5062,施工参数,施工泵压平均值: 40.5062 为施工参数特征。,,,,condition_stats:红页L1HF:10:加砂后:施工泵压:mean,stat
E0111,施工泵压方差: 193.9675,施工参数,施工泵压方差: 193.9675 为施工参数特征。,,,,condition_stats:红页L1HF:10:加砂后:施工泵压:var,stat
E0112,工况 主缝延伸,工况事件,工况 主缝延伸 为工况事件实体。,,,,worktype:红页L1HF:10:加砂后:主缝延伸,worktype
E0113,工况时间 2024-01-09 12:06:00,时间点,工况时间 2024-01-09 12:06:00 为时间点实体。,,,,worktype_time:红页L1HF:10:加砂后:主缝延伸,time
E0114,砂比平均值: 无数据,施工参数,砂比平均值: 无数据 为施工参数特征。,,,,worktype_stats:红页L1HF:10:加砂后:主缝延伸:砂比:mean,stat
E0115,砂比方差: 无数据,施工参数,砂比方差: 无数据 为施工参数特征。,,,,worktype_stats:红页L1HF:10:加砂后:主缝延伸:砂比:var,stat
E0116,排量平均值: 24.09,施工参数,排量平均值: 24.09 为施工参数特征。,,,,worktype_stats:红页L1HF:10:加砂后:主缝延伸:排量:mean,stat
E0117,排量方差: 0.0,施工参数,排量方差: 0.0 为施工参数特征。,,,,worktype_stats:红页L1HF:10:加砂后:主缝延伸:排量:var,stat
E0118,施工泵压平均值: 82.56,施工参数,施工泵压平均值: 82.56 为施工参数特征。,,,,worktype_stats:红页L1HF:10:加砂后:主缝延伸:施工泵压:mean,stat
E0119,施工泵压方差: 0.0,施工参数,施工泵压方差: 0.0 为施工参数特征。,,,,worktype_stats:红页L1HF:10:加砂后:主缝延伸:施工泵压:var,stat
E0120,当前建议: 保持当前措施,处置建议,当前建议: 保持当前措施 为处置建议实体。,,,,suggestion:红页L1HF:10:加砂后:主缝延伸,suggestion
E0121,段号 11,压裂段,段号 11 为压裂段实体。,,,,segment:红页L1HF:11,segment
E0122,段号时间 2024-01-09 16:10:00,时间点,段号时间 2024-01-09 16:10:00 为时间点实体。,,,,segment_time:红页L1HF:11,time
E0123,砂比平均值: 8.3647,施工参数,砂比平均值: 8.3647 为施工参数特征。,,,,segment_stats:红页L1HF:11:砂比:mean,stat
E0124,砂比方差: 9.2147,施工参数,砂比方差: 9.2147 为施工参数特征。,,,,segment_stats:红页L1HF:11:砂比:var,stat
E0125,排量平均值: 16.2039,施工参数,排量平均值: 16.2039 为施工参数特征。,,,,segment_stats:红页L1HF:11:排量:mean,stat
E0126,排量方差: 98.1173,施工参数,排量方差: 98.1173 为施工参数特征。,,,,segment_stats:红页L1HF:11:排量:var,stat
E0127,施工泵压平均值: 68.0071,施工参数,施工泵压平均值: 68.0071 为施工参数特征。,,,,segment_stats:红页L1HF:11:施工泵压:mean,stat
E0128,施工泵压方差: 377.2174,施工参数,施工泵压方差: 377.2174 为施工参数特征。,,,,segment_stats:红页L1HF:11:施工泵压:var,stat
E0129,施工情况 加砂前,施工阶段,施工情况 加砂前 为施工阶段实体。,,,,condition:红页L1HF:11:加砂前,condition
E0130,施工时间 2024-01-09 16:10:00,时间点,施工时间 2024-01-09 16:10:00 为时间点实体。,,,,condition_time:红页L1HF:11:加砂前,time
E0131,砂比平均值: 无数据,施工参数,砂比平均值: 无数据 为施工参数特征。,,,,condition_stats:红页L1HF:11:加砂前:砂比:mean,stat
E0132,砂比方差: 无数据,施工参数,砂比方差: 无数据 为施工参数特征。,,,,condition_stats:红页L1HF:11:加砂前:砂比:var,stat
E0133,排量平均值: 8.181,施工参数,排量平均值: 8.181 为施工参数特征。,,,,condition_stats:红页L1HF:11:加砂前:排量:mean,stat
E0134,排量方差: 52.9865,施工参数,排量方差: 52.9865 为施工参数特征。,,,,condition_stats:红页L1HF:11:加砂前:排量:var,stat
E0135,施工泵压平均值: 56.1228,施工参数,施工泵压平均值: 56.1228 为施工参数特征。,,,,condition_stats:红页L1HF:11:加砂前:施工泵压:mean,stat
E0136,施工泵压方差: 484.6932,施工参数,施工泵压方差: 484.6932 为施工参数特征。,,,,condition_stats:红页L1HF:11:加砂前:施工泵压:var,stat
E0137,工况 滤失过大,工况事件,工况 滤失过大 为工况事件实体。,,,,worktype:红页L1HF:11:加砂前:滤失过大,worktype
E0138,工况时间 2024-01-09 16:34:10,时间点,工况时间 2024-01-09 16:34:10 为时间点实体。,,,,worktype_time:红页L1HF:11:加砂前:滤失过大,time
E0139,砂比平均值: 无数据,施工参数,砂比平均值: 无数据 为施工参数特征。,,,,worktype_stats:红页L1HF:11:加砂前:滤失过大:砂比:mean,stat
E0140,砂比方差: 无数据,施工参数,砂比方差: 无数据 为施工参数特征。,,,,worktype_stats:红页L1HF:11:加砂前:滤失过大:砂比:var,stat
E0141,排量平均值: 17.8437,施工参数,排量平均值: 17.8437 为施工参数特征。,,,,worktype_stats:红页L1HF:11:加砂前:滤失过大:排量:mean,stat
E0142,排量方差: 16.8601,施工参数,排量方差: 16.8601 为施工参数特征。,,,,worktype_stats:红页L1HF:11:加砂前:滤失过大:排量:var,stat
E0143,施工泵压平均值: 84.2274,施工参数,施工泵压平均值: 84.2274 为施工参数特征。,,,,worktype_stats:红页L1HF:11:加砂前:滤失过大:施工泵压:mean,stat
E0144,施工泵压方差: 35.5345,施工参数,施工泵压方差: 35.5345 为施工参数特征。,,,,worktype_stats:红页L1HF:11:加砂前:滤失过大:施工泵压:var,stat
E0145,当前建议: 保持当前措施,处置建议,当前建议: 保持当前措施 为处置建议实体。,,,,suggestion:红页L1HF:11:加砂前:滤失过大,suggestion
E0146,施工情况 加砂中,施工阶段,施工情况 加砂中 为施工阶段实体。,,,,condition:红页L1HF:11:加砂中,condition
E0147,施工时间 2024-01-09 16:45:30,时间点,施工时间 2024-01-09 16:45:30 为时间点实体。,,,,condition_time:红页L1HF:11:加砂中,time
E0148,砂比平均值: 8.3647,施工参数,砂比平均值: 8.3647 为施工参数特征。,,,,condition_stats:红页L1HF:11:加砂中:砂比:mean,stat
E0149,砂比方差: 9.2147,施工参数,砂比方差: 9.2147 为施工参数特征。,,,,condition_stats:红页L1HF:11:加砂中:砂比:var,stat
E0150,排量平均值: 22.9672,施工参数,排量平均值: 22.9672 为施工参数特征。,,,,condition_stats:红页L1HF:11:加砂中:排量:mean,stat
E0151,排量方差: 4.0095,施工参数,排量方差: 4.0095 为施工参数特征。,,,,condition_stats:红页L1HF:11:加砂中:排量:var,stat
E0152,施工泵压平均值: 79.6283,施工参数,施工泵压平均值: 79.6283 为施工参数特征。,,,,condition_stats:红页L1HF:11:加砂中:施工泵压:mean,stat
E0153,施工泵压方差: 18.8136,施工参数,施工泵压方差: 18.8136 为施工参数特征。,,,,condition_stats:红页L1HF:11:加砂中:施工泵压:var,stat
E0154,工况 滤失过大,工况事件,工况 滤失过大 为工况事件实体。,,,,worktype:红页L1HF:11:加砂中:滤失过大,worktype
E0155,工况时间 2024-01-09 16:45:30,时间点,工况时间 2024-01-09 16:45:30 为时间点实体。,,,,worktype_time:红页L1HF:11:加砂中:滤失过大,time
E0156,砂比平均值: 3.075,施工参数,砂比平均值: 3.075 为施工参数特征。,,,,worktype_stats:红页L1HF:11:加砂中:滤失过大:砂比:mean,stat
E0157,砂比方差: 3.6819,施工参数,砂比方差: 3.6819 为施工参数特征。,,,,worktype_stats:红页L1HF:11:加砂中:滤失过大:砂比:var,stat
E0158,排量平均值: 24.08,施工参数,排量平均值: 24.08 为施工参数特征。,,,,worktype_stats:红页L1HF:11:加砂中:滤失过大:排量:mean,stat
E0159,排量方差: 0.0,施工参数,排量方差: 0.0 为施工参数特征。,,,,worktype_stats:红页L1HF:11:加砂中:滤失过大:排量:var,stat
E0160,施工泵压平均值: 73.0225,施工参数,施工泵压平均值: 73.0225 为施工参数特征。,,,,worktype_stats:红页L1HF:11:加砂中:滤失过大:施工泵压:mean,stat
E0161,施工泵压方差: 0.0005,施工参数,施工泵压方差: 0.0005 为施工参数特征。,,,,worktype_stats:红页L1HF:11:加砂中:滤失过大:施工泵压:var,stat
E0162,当前建议: 保持当前措施,处置建议,当前建议: 保持当前措施 为处置建议实体。,,,,suggestion:红页L1HF:11:加砂中:滤失过大,suggestion
E0163,工况 缝内暂堵,工况事件,工况 缝内暂堵 为工况事件实体。,,,,worktype:红页L1HF:11:加砂中:缝内暂堵,worktype
E0164,工况时间 2024-01-09 17:03:10,时间点,工况时间 2024-01-09 17:03:10 为时间点实体。,,,,worktype_time:红页L1HF:11:加砂中:缝内暂堵,time
E0165,砂比平均值: 5.4194,施工参数,砂比平均值: 5.4194 为施工参数特征。,,,,worktype_stats:红页L1HF:11:加砂中:缝内暂堵:砂比:mean,stat
E0166,砂比方差: 2.7383,施工参数,砂比方差: 2.7383 为施工参数特征。,,,,worktype_stats:红页L1HF:11:加砂中:缝内暂堵:砂比:var,stat
E0167,排量平均值: 24.0343,施工参数,排量平均值: 24.0343 为施工参数特征。,,,,worktype_stats:红页L1HF:11:加砂中:缝内暂堵:排量:mean,stat
E0168,排量方差: 0.0016,施工参数,排量方差: 0.0016 为施工参数特征。,,,,worktype_stats:红页L1HF:11:加砂中:缝内暂堵:排量:var,stat
E0169,施工泵压平均值: 77.4853,施工参数,施工泵压平均值: 77.4853 为施工参数特征。,,,,worktype_stats:红页L1HF:11:加砂中:缝内暂堵:施工泵压:mean,stat
E0170,施工泵压方差: 4.5135,施工参数,施工泵压方差: 4.5135 为施工参数特征。,,,,worktype_stats:红页L1HF:11:加砂中:缝内暂堵:施工泵压:var,stat
E0171,当前建议: 无建议,处置建议,当前建议: 无建议 为处置建议实体。,,,,suggestion:红页L1HF:11:加砂中:缝内暂堵,suggestion
E0172,工况 缝口暂堵,工况事件,工况 缝口暂堵 为工况事件实体。,,,,worktype:红页L1HF:11:加砂中:缝口暂堵,worktype
E0173,工况时间 2024-01-09 17:19:50,时间点,工况时间 2024-01-09 17:19:50 为时间点实体。,,,,worktype_time:红页L1HF:11:加砂中:缝口暂堵,time
E0174,砂比平均值: 6.0189,施工参数,砂比平均值: 6.0189 为施工参数特征。,,,,worktype_stats:红页L1HF:11:加砂中:缝口暂堵:砂比:mean,stat
E0175,砂比方差: 9.1929,施工参数,砂比方差: 9.1929 为施工参数特征。,,,,worktype_stats:红页L1HF:11:加砂中:缝口暂堵:砂比:var,stat
E0176,排量平均值: 21.3527,施工参数,排量平均值: 21.3527 为施工参数特征。,,,,worktype_stats:红页L1HF:11:加砂中:缝口暂堵:排量:mean,stat
E0177,排量方差: 6.4811,施工参数,排量方差: 6.4811 为施工参数特征。,,,,worktype_stats:红页L1HF:11:加砂中:缝口暂堵:排量:var,stat
E0178,施工泵压平均值: 78.7871,施工参数,施工泵压平均值: 78.7871 为施工参数特征。,,,,worktype_stats:红页L1HF:11:加砂中:缝口暂堵:施工泵压:mean,stat
E0179,施工泵压方差: 43.9393,施工参数,施工泵压方差: 43.9393 为施工参数特征。,,,,worktype_stats:红页L1HF:11:加砂中:缝口暂堵:施工泵压:var,stat
E0180,当前建议: 无建议,处置建议,当前建议: 无建议 为处置建议实体。,,,,suggestion:红页L1HF:11:加砂中:缝口暂堵,suggestion
