entity_id,entity_name,entity_type,description,image_path,audio_path,video_path,source_id
E00092,0.25%减阻水@时间窗 W004,液型时间窗,井 红页L1HF-段 11-时间窗 W004 对应的液型使用实例。,,,,fluid_usage:红页L1HF:11:4:0.25%减阻水
E00093,"施工泵压变化 起35.67→止73.06，变化37.39，均值66.6274，范围[35.67, 91.77]",施工特征,该时间窗内的施工泵压变化特征。,,,,pressure_feature:红页L1HF:11:4
E00094,"排量变化 起2.4→止24.08，变化21.68，均值11.0711，范围[2.4, 24.08]",施工特征,该时间窗内的排量变化特征。,,,,flow_feature:红页L1HF:11:4
E00095,"砂比变化 起0.1→止0.1，变化0，均值0.1，范围[0.1, 0.1]",施工特征,该时间窗内的砂比变化特征。,,,,sand_feature:红页L1HF:11:4
E00096,时间窗 W005,时间窗,井 红页L1HF-段 11 中使用液型 0.12%减阻水 的连续时间窗。,,,,time_window:红页L1HF:11:5
E00097,0.12%减阻水@时间窗 W005,液型时间窗,井 红页L1HF-段 11-时间窗 W005 对应的液型使用实例。,,,,fluid_usage:红页L1HF:11:5:0.12%减阻水
E00098,"施工泵压变化 起73.01→止84.98，变化11.97，均值79.4334，范围[62.54, 90]",施工特征,该时间窗内的施工泵压变化特征。,,,,pressure_feature:红页L1HF:11:5
E00099,"排量变化 起24.08→止22.28，变化-1.8，均值23.1235，范围[17.73, 24.18]",施工特征,该时间窗内的排量变化特征。,,,,flow_feature:红页L1HF:11:5
E00100,"砂比变化 起2.7→止0.3，变化-2.4，均值8.4352，范围[0.1, 14.7]",施工特征,该时间窗内的砂比变化特征。,,,,sand_feature:红页L1HF:11:5
E00101,时间窗 W006,时间窗,井 红页L1HF-段 11 中使用液型 0.25%减阻水 的连续时间窗。,,,,time_window:红页L1HF:11:6
E00102,0.25%减阻水@时间窗 W006,液型时间窗,井 红页L1HF-段 11-时间窗 W006 对应的液型使用实例。,,,,fluid_usage:红页L1HF:11:6:0.25%减阻水
E00103,"施工泵压变化 起85.02→止83.21，变化-1.81，均值82.5434，范围[79.69, 85.02]",施工特征,该时间窗内的施工泵压变化特征。,,,,pressure_feature:红页L1HF:11:6
E00104,"排量变化 起22.28→止22.28，变化0，均值22.28，范围[22.28, 22.28]",施工特征,该时间窗内的排量变化特征。,,,,flow_feature:红页L1HF:11:6
E00105,"砂比变化 起0.3→止0.4，变化0.1，均值7.9328，范围[0.3, 10.3]",施工特征,该时间窗内的砂比变化特征。,,,,sand_feature:红页L1HF:11:6
E00106,时间窗 W007,时间窗,井 红页L1HF-段 11 中使用液型 0.12%减阻水 的连续时间窗。,,,,time_window:红页L1HF:11:7
E00107,0.12%减阻水@时间窗 W007,液型时间窗,井 红页L1HF-段 11-时间窗 W007 对应的液型使用实例。,,,,fluid_usage:红页L1HF:11:7:0.12%减阻水
E00108,"施工泵压变化 起83.04→止0.26，变化-82.78，均值41.1635，范围[0.26, 83.04]",施工特征,该时间窗内的施工泵压变化特征。,,,,pressure_feature:红页L1HF:11:7
E00109,"排量变化 起22.28→止0，变化-22.28，均值1.8209，范围[0, 22.28]",施工特征,该时间窗内的排量变化特征。,,,,flow_feature:红页L1HF:11:7
E00110,砂比变化：0,施工特征,该时间窗内的砂比变化特征。,,,,sand_feature:红页L1HF:11:7
E00111,段 12,压裂段,井 红页L1HF 的第 12 段。,,,,segment:红页L1HF:12
E00112,时间窗 W001,时间窗,井 红页L1HF-段 12 中使用液型 0 的连续时间窗。,,,,time_window:红页L1HF:12:1
E00113,0@时间窗 W001,液型时间窗,井 红页L1HF-段 12-时间窗 W001 对应的液型使用实例。,,,,fluid_usage:红页L1HF:12:1:0
E00114,"施工泵压变化 起5.51→止0.28，变化-5.23，均值66.5042，范围[0.28, 91.33]",施工特征,该时间窗内的施工泵压变化特征。,,,,pressure_feature:红页L1HF:12:1
E00115,"排量变化 起0→止0，变化0，均值16.2737，范围[0, 24.41]",施工特征,该时间窗内的排量变化特征。,,,,flow_feature:红页L1HF:12:1
E00116,"砂比变化 起4.6→止0.1，变化-4.5，均值9.8198，范围[0.1, 13.1]",施工特征,该时间窗内的砂比变化特征。,,,,sand_feature:红页L1HF:12:1
E00117,段 13,压裂段,井 红页L1HF 的第 13 段。,,,,segment:红页L1HF:13
E00118,时间窗 W001,时间窗,井 红页L1HF-段 13 中使用液型 未标注液型 的连续时间窗。,,,,time_window:红页L1HF:13:1
E00119,未标注液型@时间窗 W001,液型时间窗,井 红页L1HF-段 13-时间窗 W001 对应的液型使用实例。,,,,fluid_usage:红页L1HF:13:1:未标注液型
E00120,"施工泵压变化 起24.09→止24.09，变化0，均值24.09，范围[24.09, 24.09]",施工特征,该时间窗内的施工泵压变化特征。,,,,pressure_feature:红页L1HF:13:1
E00121,"排量变化 起0.09→止0.09，变化0，均值0.09，范围[0.09, 0.09]",施工特征,该时间窗内的排量变化特征。,,,,flow_feature:红页L1HF:13:1
E00122,砂比变化：0,施工特征,该时间窗内的砂比变化特征。,,,,sand_feature:红页L1HF:13:1
E00123,时间窗 W002,时间窗,井 红页L1HF-段 13 中使用液型 0.12%减阻水 的连续时间窗。,,,,time_window:红页L1HF:13:2
E00124,0.12%减阻水@时间窗 W002,液型时间窗,井 红页L1HF-段 13-时间窗 W002 对应的液型使用实例。,,,,fluid_usage:红页L1HF:13:2:0.12%减阻水
E00125,"施工泵压变化 起27.67→止35.59，变化7.92，均值32.885，范围[27.67, 35.59]",施工特征,该时间窗内的施工泵压变化特征。,,,,pressure_feature:红页L1HF:13:2
E00126,"排量变化 起0.47→止2，变化1.53，均值1.7788，范围[0.47, 2]",施工特征,该时间窗内的排量变化特征。,,,,flow_feature:红页L1HF:13:2
E00127,砂比变化：0,施工特征,该时间窗内的砂比变化特征。,,,,sand_feature:红页L1HF:13:2
E00128,时间窗 W003,时间窗,井 红页L1HF-段 13 中使用液型 15%HCl 的连续时间窗。,,,,time_window:红页L1HF:13:3
E00129,15%HCl@时间窗 W003,液型时间窗,井 红页L1HF-段 13-时间窗 W003 对应的液型使用实例。,,,,fluid_usage:红页L1HF:13:3:15%HCl
E00130,"施工泵压变化 起35.75→止38.38，变化2.63，均值37.4，范围[35.75, 38.38]",施工特征,该时间窗内的施工泵压变化特征。,,,,pressure_feature:红页L1HF:13:3
E00131,"排量变化 起2→止2，变化0，均值2，范围[2, 2]",施工特征,该时间窗内的排量变化特征。,,,,flow_feature:红页L1HF:13:3
E00132,砂比变化：0,施工特征,该时间窗内的砂比变化特征。,,,,sand_feature:红页L1HF:13:3
E00133,时间窗 W004,时间窗,井 红页L1HF-段 13 中使用液型 0.25%减阻水 的连续时间窗。,,,,time_window:红页L1HF:13:4
E00134,0.25%减阻水@时间窗 W004,液型时间窗,井 红页L1HF-段 13-时间窗 W004 对应的液型使用实例。,,,,fluid_usage:红页L1HF:13:4:0.25%减阻水
E00135,"施工泵压变化 起38.42→止70.71，变化32.29，均值63.8506，范围[38.42, 91.52]",施工特征,该时间窗内的施工泵压变化特征。,,,,pressure_feature:红页L1HF:13:4
E00136,"排量变化 起2→止24.06，变化22.06，均值9.4017，范围[2, 24.06]",施工特征,该时间窗内的排量变化特征。,,,,flow_feature:红页L1HF:13:4
E00137,"砂比变化 起2.7→止5.3，变化2.6，均值4.3667，范围[2.7, 5.3]",施工特征,该时间窗内的砂比变化特征。,,,,sand_feature:红页L1HF:13:4
E00138,时间窗 W005,时间窗,井 红页L1HF-段 13 中使用液型 0.12%减阻水 的连续时间窗。,,,,time_window:红页L1HF:13:5
E00139,0.12%减阻水@时间窗 W005,液型时间窗,井 红页L1HF-段 13-时间窗 W005 对应的液型使用实例。,,,,fluid_usage:红页L1HF:13:5:0.12%减阻水
E00140,"施工泵压变化 起70.71→止79.67，变化8.96，均值75.3002，范围[52.47, 80.08]",施工特征,该时间窗内的施工泵压变化特征。,,,,pressure_feature:红页L1HF:13:5
E00141,"排量变化 起24.06→止24.06，变化0，均值23.4456，范围[12.08, 24.07]",施工特征,该时间窗内的排量变化特征。,,,,flow_feature:红页L1HF:13:5
E00142,"砂比变化 起5.1→止13.4，变化8.3，均值9.3647，范围[0.1, 13.4]",施工特征,该时间窗内的砂比变化特征。,,,,sand_feature:红页L1HF:13:5
E00143,时间窗 W006,时间窗,井 红页L1HF-段 13 中使用液型 0.25%减阻水 的连续时间窗。,,,,time_window:红页L1HF:13:6
E00144,0.25%减阻水@时间窗 W006,液型时间窗,井 红页L1HF-段 13-时间窗 W006 对应的液型使用实例。,,,,fluid_usage:红页L1HF:13:6:0.25%减阻水
E00145,"施工泵压变化 起79.75→止79.74，变化-0.01，均值79.7718，范围[79.59, 79.94]",施工特征,该时间窗内的施工泵压变化特征。,,,,pressure_feature:红页L1HF:13:6
E00146,"排量变化 起24.06→止24.06，变化0，均值24.06，范围[24.06, 24.06]",施工特征,该时间窗内的排量变化特征。,,,,flow_feature:红页L1HF:13:6
E00147,"砂比变化 起14.2→止0.6，变化-13.6，均值13.3176，范围[0.6, 14.2]",施工特征,该时间窗内的砂比变化特征。,,,,sand_feature:红页L1HF:13:6
E00148,时间窗 W007,时间窗,井 红页L1HF-段 13 中使用液型 0.12%减阻水 的连续时间窗。,,,,time_window:红页L1HF:13:7
E00149,0.12%减阻水@时间窗 W007,液型时间窗,井 红页L1HF-段 13-时间窗 W007 对应的液型使用实例。,,,,fluid_usage:红页L1HF:13:7:0.12%减阻水
E00150,"施工泵压变化 起79.77→止0，变化-79.77，均值42.5674，范围[0, 79.77]",施工特征,该时间窗内的施工泵压变化特征。,,,,pressure_feature:红页L1HF:13:7
E00151,"排量变化 起24.06→止0，变化-24.06，均值1.5645，范围[0, 24.06]",施工特征,该时间窗内的排量变化特征。,,,,flow_feature:红页L1HF:13:7
E00152,砂比变化：0,施工特征,该时间窗内的砂比变化特征。,,,,sand_feature:红页L1HF:13:7
E00153,段 14,压裂段,井 红页L1HF 的第 14 段。,,,,segment:红页L1HF:14
E00154,时间窗 W001,时间窗,井 红页L1HF-段 14 中使用液型 0.12%减阻水 的连续时间窗。,,,,time_window:红页L1HF:14:1
E00155,0.12%减阻水@时间窗 W001,液型时间窗,井 红页L1HF-段 14-时间窗 W001 对应的液型使用实例。,,,,fluid_usage:红页L1HF:14:1:0.12%减阻水
E00156,"施工泵压变化 起21.49→止36.3，变化14.81，均值31.2426，范围[21.49, 36.3]",施工特征,该时间窗内的施工泵压变化特征。,,,,pressure_feature:红页L1HF:14:1
E00157,"排量变化 起0.3→止1.99，变化1.69，均值1.6963，范围[0.3, 1.99]",施工特征,该时间窗内的排量变化特征。,,,,flow_feature:红页L1HF:14:1
E00158,砂比变化：0,施工特征,该时间窗内的砂比变化特征。,,,,sand_feature:红页L1HF:14:1
E00159,时间窗 W002,时间窗,井 红页L1HF-段 14 中使用液型 15%HCl 的连续时间窗。,,,,time_window:红页L1HF:14:2
E00160,15%HCl@时间窗 W002,液型时间窗,井 红页L1HF-段 14-时间窗 W002 对应的液型使用实例。,,,,fluid_usage:红页L1HF:14:2:15%HCl
E00161,"施工泵压变化 起36.54→止39.83，变化3.29，均值38.7313，范围[36.54, 39.83]",施工特征,该时间窗内的施工泵压变化特征。,,,,pressure_feature:红页L1HF:14:2
E00162,"排量变化 起1.99→止1.99，变化0，均值1.99，范围[1.99, 1.99]",施工特征,该时间窗内的排量变化特征。,,,,flow_feature:红页L1HF:14:2
E00163,砂比变化：0,施工特征,该时间窗内的砂比变化特征。,,,,sand_feature:红页L1HF:14:2
E00164,时间窗 W003,时间窗,井 红页L1HF-段 14 中使用液型 0.25%减阻水 的连续时间窗。,,,,time_window:红页L1HF:14:3
E00165,0.25%减阻水@时间窗 W003,液型时间窗,井 红页L1HF-段 14-时间窗 W003 对应的液型使用实例。,,,,fluid_usage:红页L1HF:14:3:0.25%减阻水
E00166,"施工泵压变化 起39.83→止70.07，变化30.24，均值61.5465，范围[39.83, 91.81]",施工特征,该时间窗内的施工泵压变化特征。,,,,pressure_feature:红页L1HF:14:3
E00167,"排量变化 起1.99→止24.05，变化22.06，均值10.744，范围[1.99, 24.05]",施工特征,该时间窗内的排量变化特征。,,,,flow_feature:红页L1HF:14:3
E00168,"砂比变化 起1.4→止5.1，变化3.7，均值4.125，范围[1.4, 5.4]",施工特征,该时间窗内的砂比变化特征。,,,,sand_feature:红页L1HF:14:3
E00169,时间窗 W004,时间窗,井 红页L1HF-段 14 中使用液型 0.12%减阻水 的连续时间窗。,,,,time_window:红页L1HF:14:4
E00170,0.12%减阻水@时间窗 W004,液型时间窗,井 红页L1HF-段 14-时间窗 W004 对应的液型使用实例。,,,,fluid_usage:红页L1HF:14:4:0.12%减阻水
E00171,"施工泵压变化 起70.32→止80.34，变化10.02，均值77.9778，范围[67.01, 86.47]",施工特征,该时间窗内的施工泵压变化特征。,,,,pressure_feature:红页L1HF:14:4
E00172,"排量变化 起24.05→止24.04，变化-0.01，均值23.9793，范围[19.87, 24.06]",施工特征,该时间窗内的排量变化特征。,,,,flow_feature:红页L1HF:14:4
E00173,"砂比变化 起5.1→止13，变化7.9，均值9.4339，范围[0.1, 13]",施工特征,该时间窗内的砂比变化特征。,,,,sand_feature:红页L1HF:14:4
E00174,时间窗 W005,时间窗,井 红页L1HF-段 14 中使用液型 0.25%减阻水 的连续时间窗。,,,,time_window:红页L1HF:14:5
E00175,0.25%减阻水@时间窗 W005,液型时间窗,井 红页L1HF-段 14-时间窗 W005 对应的液型使用实例。,,,,fluid_usage:红页L1HF:14:5:0.25%减阻水
E00176,"施工泵压变化 起80.33→止80.04，变化-0.29，均值80.186，范围[80.04, 80.33]",施工特征,该时间窗内的施工泵压变化特征。,,,,pressure_feature:红页L1HF:14:5
E00177,"排量变化 起24.04→止24.04，变化0，均值24.04，范围[24.04, 24.04]",施工特征,该时间窗内的排量变化特征。,,,,flow_feature:红页L1HF:14:5
E00178,"砂比变化 起13→止13，变化0，均值13，范围[13, 13]",施工特征,该时间窗内的砂比变化特征。,,,,sand_feature:红页L1HF:14:5
