id,head,relation,tail,head_entity_id,tail_entity_id,head_source_id,tail_source_id,derived
16,施工情况 加砂前,施工特征,施工泵压平均值: 61.8049,E0011,E0017,condition:红页L1HF:1:加砂前,condition_stats:红页L1HF:1:加砂前:施工泵压:mean,no
17,施工情况 加砂前,施工特征,施工泵压方差: 228.6507,E0011,E0018,condition:红页L1HF:1:加砂前,condition_stats:红页L1HF:1:加砂前:施工泵压:var,no
18,段号 1,包含施工阶段,施工情况 加砂中,E0003,E0019,segment:红页L1HF:1,condition:红页L1HF:1:加砂中,no
19,施工情况 加砂中,开始时间,施工时间 2024-01-04 15:06:20,E0019,E0020,condition:红页L1HF:1:加砂中,condition_time:红页L1HF:1:加砂中,no
20,施工情况 加砂中,施工特征,砂比平均值: 6.5207,E0019,E0021,condition:红页L1HF:1:加砂中,condition_stats:红页L1HF:1:加砂中:砂比:mean,no
21,施工情况 加砂中,施工特征,砂比方差: 3.7453,E0019,E0022,condition:红页L1HF:1:加砂中,condition_stats:红页L1HF:1:加砂中:砂比:var,no
22,施工情况 加砂中,施工特征,排量平均值: 20.6746,E0019,E0023,condition:红页L1HF:1:加砂中,condition_stats:红页L1HF:1:加砂中:排量:mean,no
23,施工情况 加砂中,施工特征,排量方差: 0.091,E0019,E0024,condition:红页L1HF:1:加砂中,condition_stats:红页L1HF:1:加砂中:排量:var,no
24,施工情况 加砂中,施工特征,施工泵压平均值: 70.7477,E0019,E0025,condition:红页L1HF:1:加砂中,condition_stats:红页L1HF:1:加砂中:施工泵压:mean,no
25,施工情况 加砂中,施工特征,施工泵压方差: 1.514,E0019,E0026,condition:红页L1HF:1:加砂中,condition_stats:红页L1HF:1:加砂中:施工泵压:var,no
26,施工情况 加砂中,发生工况,工况 主缝延伸,E0019,E0027,condition:红页L1HF:1:加砂中,worktype:红页L1HF:1:加砂中:主缝延伸,no
27,工况 主缝延伸,开始时间,工况时间 2024-01-04 15:32:30,E0027,E0028,worktype:红页L1HF:1:加砂中:主缝延伸,worktype_time:红页L1HF:1:加砂中:主缝延伸,no
28,工况 主缝延伸,施工特征,砂比平均值: 7.7158,E0027,E0029,worktype:红页L1HF:1:加砂中:主缝延伸,worktype_stats:红页L1HF:1:加砂中:主缝延伸:砂比:mean,no
29,工况 主缝延伸,施工特征,砂比方差: 1.8924,E0027,E0030,worktype:红页L1HF:1:加砂中:主缝延伸,worktype_stats:红页L1HF:1:加砂中:主缝延伸:砂比:var,no
30,工况 主缝延伸,施工特征,排量平均值: 20.9446,E0027,E0031,worktype:红页L1HF:1:加砂中:主缝延伸,worktype_stats:红页L1HF:1:加砂中:主缝延伸:排量:mean,no
31,工况 主缝延伸,施工特征,排量方差: 0.0213,E0027,E0032,worktype:红页L1HF:1:加砂中:主缝延伸,worktype_stats:红页L1HF:1:加砂中:主缝延伸:排量:var,no
32,工况 主缝延伸,施工特征,施工泵压平均值: 70.2212,E0027,E0033,worktype:红页L1HF:1:加砂中:主缝延伸,worktype_stats:红页L1HF:1:加砂中:主缝延伸:施工泵压:mean,no
33,工况 主缝延伸,施工特征,施工泵压方差: 0.8402,E0027,E0034,worktype:红页L1HF:1:加砂中:主缝延伸,worktype_stats:红页L1HF:1:加砂中:主缝延伸:施工泵压:var,no
34,工况 主缝延伸,处置建议,当前建议: 保持当前措施,E0027,E0035,worktype:红页L1HF:1:加砂中:主缝延伸,suggestion:红页L1HF:1:加砂中:主缝延伸,no
35,段号 1,包含施工阶段,施工情况 加砂后,E0003,E0036,segment:红页L1HF:1,condition:红页L1HF:1:加砂后,no
36,施工情况 加砂后,开始时间,施工时间 2024-01-04 15:54:20,E0036,E0037,condition:红页L1HF:1:加砂后,condition_time:红页L1HF:1:加砂后,no
37,施工情况 加砂后,施工特征,砂比平均值: 无数据,E0036,E0038,condition:红页L1HF:1:加砂后,condition_stats:红页L1HF:1:加砂后:砂比:mean,no
38,施工情况 加砂后,施工特征,砂比方差: 无数据,E0036,E0039,condition:红页L1HF:1:加砂后,condition_stats:红页L1HF:1:加砂后:砂比:var,no
39,施工情况 加砂后,施工特征,排量平均值: 3.0861,E0036,E0040,condition:红页L1HF:1:加砂后,condition_stats:红页L1HF:1:加砂后:排量:mean,no
40,施工情况 加砂后,施工特征,排量方差: 53.5988,E0036,E0041,condition:红页L1HF:1:加砂后,condition_stats:红页L1HF:1:加砂后:排量:var,no
41,施工情况 加砂后,施工特征,施工泵压平均值: 30.3825,E0036,E0042,condition:红页L1HF:1:加砂后,condition_stats:红页L1HF:1:加砂后:施工泵压:mean,no
42,施工情况 加砂后,施工特征,施工泵压方差: 267.4653,E0036,E0043,condition:红页L1HF:1:加砂后,condition_stats:红页L1HF:1:加砂后:施工泵压:var,no
43,施工情况 加砂后,发生工况,工况 主缝延伸,E0036,E0044,condition:红页L1HF:1:加砂后,worktype:红页L1HF:1:加砂后:主缝延伸,no
44,工况 主缝延伸,开始时间,工况时间 2024-01-04 15:54:20,E0044,E0045,worktype:红页L1HF:1:加砂后:主缝延伸,worktype_time:红页L1HF:1:加砂后:主缝延伸,no
45,工况 主缝延伸,施工特征,砂比平均值: 无数据,E0044,E0046,worktype:红页L1HF:1:加砂后:主缝延伸,worktype_stats:红页L1HF:1:加砂后:主缝延伸:砂比:mean,no
46,工况 主缝延伸,施工特征,砂比方差: 无数据,E0044,E0047,worktype:红页L1HF:1:加砂后:主缝延伸,worktype_stats:红页L1HF:1:加砂后:主缝延伸:砂比:var,no
47,工况 主缝延伸,施工特征,排量平均值: 20.9975,E0044,E0048,worktype:红页L1HF:1:加砂后:主缝延伸,worktype_stats:红页L1HF:1:加砂后:主缝延伸:排量:mean,no
48,工况 主缝延伸,施工特征,排量方差: 0.0,E0044,E0049,worktype:红页L1HF:1:加砂后:主缝延伸,worktype_stats:红页L1HF:1:加砂后:主缝延伸:排量:var,no
49,工况 主缝延伸,施工特征,施工泵压平均值: 70.265,E0044,E0050,worktype:红页L1HF:1:加砂后:主缝延伸,worktype_stats:红页L1HF:1:加砂后:主缝延伸:施工泵压:mean,no
50,工况 主缝延伸,施工特征,施工泵压方差: 0.0051,E0044,E0051,worktype:红页L1HF:1:加砂后:主缝延伸,worktype_stats:红页L1HF:1:加砂后:主缝延伸:施工泵压:var,no
51,工况 主缝延伸,处置建议,当前建议: 保持当前措施,E0044,E0052,worktype:红页L1HF:1:加砂后:主缝延伸,suggestion:红页L1HF:1:加砂后:主缝延伸,no
52,井号 红页L1HF,包含段,段号 10,E0001,E0053,well:红页L1HF,segment:红页L1HF:10,no
53,段号 10,开始时间,段号时间 2024-01-09 09:59:00,E0053,E0054,segment:红页L1HF:10,segment_time:红页L1HF:10,no
54,段号 10,施工特征,砂比平均值: 9.3981,E0053,E0055,segment:红页L1HF:10,segment_stats:红页L1HF:10:砂比:mean,no
55,段号 10,施工特征,砂比方差: 6.6821,E0053,E0056,segment:红页L1HF:10,segment_stats:红页L1HF:10:砂比:var,no
56,段号 10,施工特征,排量平均值: 18.6762,E0053,E0057,segment:红页L1HF:10,segment_stats:红页L1HF:10:排量:mean,no
57,段号 10,施工特征,排量方差: 92.1738,E0053,E0058,segment:红页L1HF:10,segment_stats:红页L1HF:10:排量:var,no
58,段号 10,施工特征,施工泵压平均值: 72.1342,E0053,E0059,segment:红页L1HF:10,segment_stats:红页L1HF:10:施工泵压:mean,no
59,段号 10,施工特征,施工泵压方差: 380.947,E0053,E0060,segment:红页L1HF:10,segment_stats:红页L1HF:10:施工泵压:var,no
60,段号 10,包含施工阶段,施工情况 加砂前,E0053,E0061,segment:红页L1HF:10,condition:红页L1HF:10:加砂前,no
61,施工情况 加砂前,开始时间,施工时间 2024-01-09 09:59:00,E0061,E0062,condition:红页L1HF:10:加砂前,condition_time:红页L1HF:10:加砂前,no
62,施工情况 加砂前,施工特征,砂比平均值: 无数据,E0061,E0063,condition:红页L1HF:10:加砂前,condition_stats:红页L1HF:10:加砂前:砂比:mean,no
63,施工情况 加砂前,施工特征,砂比方差: 无数据,E0061,E0064,condition:红页L1HF:10:加砂前,condition_stats:红页L1HF:10:加砂前:砂比:var,no
64,施工情况 加砂前,施工特征,排量平均值: 13.351,E0061,E0065,condition:红页L1HF:10:加砂前,condition_stats:红页L1HF:10:加砂前:排量:mean,no
65,施工情况 加砂前,施工特征,排量方差: 82.6414,E0061,E0066,condition:红页L1HF:10:加砂前,condition_stats:红页L1HF:10:加砂前:排量:var,no
66,施工情况 加砂前,施工特征,施工泵压平均值: 55.6879,E0061,E0067,condition:红页L1HF:10:加砂前,condition_stats:红页L1HF:10:加砂前:施工泵压:mean,no
67,施工情况 加砂前,施工特征,施工泵压方差: 341.0919,E0061,E0068,condition:红页L1HF:10:加砂前,condition_stats:红页L1HF:10:加砂前:施工泵压:var,no
68,段号 10,包含施工阶段,施工情况 加砂中,E0053,E0069,segment:红页L1HF:10,condition:红页L1HF:10:加砂中,no
69,施工情况 加砂中,开始时间,施工时间 2024-01-09 10:05:50,E0069,E0070,condition:红页L1HF:10:加砂中,condition_time:红页L1HF:10:加砂中,no
70,施工情况 加砂中,施工特征,砂比平均值: 9.3981,E0069,E0071,condition:红页L1HF:10:加砂中,condition_stats:红页L1HF:10:加砂中:砂比:mean,no
71,施工情况 加砂中,施工特征,砂比方差: 6.6821,E0069,E0072,condition:红页L1HF:10:加砂中,condition_stats:红页L1HF:10:加砂中:砂比:var,no
72,施工情况 加砂中,施工特征,排量平均值: 23.6559,E0069,E0073,condition:红页L1HF:10:加砂中,condition_stats:红页L1HF:10:加砂中:排量:mean,no
73,施工情况 加砂中,施工特征,排量方差: 2.6753,E0069,E0074,condition:红页L1HF:10:加砂中,condition_stats:红页L1HF:10:加砂中:排量:var,no
74,施工情况 加砂中,施工特征,施工泵压平均值: 82.179,E0069,E0075,condition:红页L1HF:10:加砂中,condition_stats:红页L1HF:10:加砂中:施工泵压:mean,no
75,施工情况 加砂中,施工特征,施工泵压方差: 32.7494,E0069,E0076,condition:红页L1HF:10:加砂中,condition_stats:红页L1HF:10:加砂中:施工泵压:var,no
76,施工情况 加砂中,发生工况,工况 缝内暂堵,E0069,E0077,condition:红页L1HF:10:加砂中,worktype:红页L1HF:10:加砂中:缝内暂堵,no
77,工况 缝内暂堵,开始时间,工况时间 2024-01-09 10:23:30,E0077,E0078,worktype:红页L1HF:10:加砂中:缝内暂堵,worktype_time:红页L1HF:10:加砂中:缝内暂堵,no
78,工况 缝内暂堵,施工特征,砂比平均值: 7.2755,E0077,E0079,worktype:红页L1HF:10:加砂中:缝内暂堵,worktype_stats:红页L1HF:10:加砂中:缝内暂堵:砂比:mean,no
79,工况 缝内暂堵,施工特征,砂比方差: 4.8161,E0077,E0080,worktype:红页L1HF:10:加砂中:缝内暂堵,worktype_stats:红页L1HF:10:加砂中:缝内暂堵:砂比:var,no
80,工况 缝内暂堵,施工特征,排量平均值: 24.0287,E0077,E0081,worktype:红页L1HF:10:加砂中:缝内暂堵,worktype_stats:红页L1HF:10:加砂中:缝内暂堵:排量:mean,no
81,工况 缝内暂堵,施工特征,排量方差: 0.0005,E0077,E0082,worktype:红页L1HF:10:加砂中:缝内暂堵,worktype_stats:红页L1HF:10:加砂中:缝内暂堵:排量:var,no
82,工况 缝内暂堵,施工特征,施工泵压平均值: 80.2892,E0077,E0083,worktype:红页L1HF:10:加砂中:缝内暂堵,worktype_stats:红页L1HF:10:加砂中:缝内暂堵:施工泵压:mean,no
83,工况 缝内暂堵,施工特征,施工泵压方差: 13.6051,E0077,E0084,worktype:红页L1HF:10:加砂中:缝内暂堵,worktype_stats:红页L1HF:10:加砂中:缝内暂堵:施工泵压:var,no
84,工况 缝内暂堵,处置建议,当前建议: 无建议,E0077,E0085,worktype:红页L1HF:10:加砂中:缝内暂堵,suggestion:红页L1HF:10:加砂中:缝内暂堵,no
85,施工情况 加砂中,发生工况,工况 缝口暂堵,E0069,E0086,condition:红页L1HF:10:加砂中,worktype:红页L1HF:10:加砂中:缝口暂堵,no
86,工况 缝口暂堵,开始时间,工况时间 2024-01-09 10:43:30,E0086,E0087,worktype:红页L1HF:10:加砂中:缝口暂堵,worktype_time:红页L1HF:10:加砂中:缝口暂堵,no
87,工况 缝口暂堵,施工特征,砂比平均值: 8.0,E0086,E0088,worktype:红页L1HF:10:加砂中:缝口暂堵,worktype_stats:红页L1HF:10:加砂中:缝口暂堵:砂比:mean,no
88,工况 缝口暂堵,施工特征,砂比方差: 5.1972,E0086,E0089,worktype:红页L1HF:10:加砂中:缝口暂堵,worktype_stats:红页L1HF:10:加砂中:缝口暂堵:砂比:var,no
89,工况 缝口暂堵,施工特征,排量平均值: 21.7838,E0086,E0090,worktype:红页L1HF:10:加砂中:缝口暂堵,worktype_stats:红页L1HF:10:加砂中:缝口暂堵:排量:mean,no
90,工况 缝口暂堵,施工特征,排量方差: 7.8297,E0086,E0091,worktype:红页L1HF:10:加砂中:缝口暂堵,worktype_stats:红页L1HF:10:加砂中:缝口暂堵:排量:var,no
91,工况 缝口暂堵,施工特征,施工泵压平均值: 76.8416,E0086,E0092,worktype:红页L1HF:10:加砂中:缝口暂堵,worktype_stats:红页L1HF:10:加砂中:缝口暂堵:施工泵压:mean,no
92,工况 缝口暂堵,施工特征,施工泵压方差: 90.8287,E0086,E0093,worktype:红页L1HF:10:加砂中:缝口暂堵,worktype_stats:红页L1HF:10:加砂中:缝口暂堵:施工泵压:var,no
93,工况 缝口暂堵,处置建议,当前建议: 无建议,E0086,E0094,worktype:红页L1HF:10:加砂中:缝口暂堵,suggestion:红页L1HF:10:加砂中:缝口暂堵,no
94,施工情况 加砂中,发生工况,工况 主缝延伸,E0069,E0095,condition:红页L1HF:10:加砂中,worktype:红页L1HF:10:加砂中:主缝延伸,no
95,工况 主缝延伸,开始时间,工况时间 2024-01-09 11:41:10,E0095,E0096,worktype:红页L1HF:10:加砂中:主缝延伸,worktype_time:红页L1HF:10:加砂中:主缝延伸,no
96,工况 主缝延伸,施工特征,砂比平均值: 10.4547,E0095,E0097,worktype:红页L1HF:10:加砂中:主缝延伸,worktype_stats:红页L1HF:10:加砂中:主缝延伸:砂比:mean,no
97,工况 主缝延伸,施工特征,砂比方差: 5.7079,E0095,E0098,worktype:红页L1HF:10:加砂中:主缝延伸,worktype_stats:红页L1HF:10:加砂中:主缝延伸:砂比:var,no
98,工况 主缝延伸,施工特征,排量平均值: 24.0767,E0095,E0099,worktype:红页L1HF:10:加砂中:主缝延伸,worktype_stats:红页L1HF:10:加砂中:主缝延伸:排量:mean,no
99,工况 主缝延伸,施工特征,排量方差: 0.0005,E0095,E0100,worktype:红页L1HF:10:加砂中:主缝延伸,worktype_stats:红页L1HF:10:加砂中:主缝延伸:排量:var,no
100,工况 主缝延伸,施工特征,施工泵压平均值: 84.2148,E0095,E0101,worktype:红页L1HF:10:加砂中:主缝延伸,worktype_stats:红页L1HF:10:加砂中:主缝延伸:施工泵压:mean,no
101,工况 主缝延伸,施工特征,施工泵压方差: 5.8633,E0095,E0102,worktype:红页L1HF:10:加砂中:主缝延伸,worktype_stats:红页L1HF:10:加砂中:主缝延伸:施工泵压:var,no
102,工况 主缝延伸,处置建议,当前建议: 保持当前措施,E0095,E0103,worktype:红页L1HF:10:加砂中:主缝延伸,suggestion:红页L1HF:10:加砂中:主缝延伸,no
103,段号 10,包含施工阶段,施工情况 加砂后,E0053,E0104,segment:红页L1HF:10,condition:红页L1HF:10:加砂后,no
104,施工情况 加砂后,开始时间,施工时间 2024-01-09 12:06:00,E0104,E0105,condition:红页L1HF:10:加砂后,condition_time:红页L1HF:10:加砂后,no
105,施工情况 加砂后,施工特征,砂比平均值: 无数据,E0104,E0106,condition:红页L1HF:10:加砂后,condition_stats:红页L1HF:10:加砂后:砂比:mean,no
106,施工情况 加砂后,施工特征,砂比方差: 无数据,E0104,E0107,condition:红页L1HF:10:加砂后,condition_stats:红页L1HF:10:加砂后:砂比:var,no
107,施工情况 加砂后,施工特征,排量平均值: 2.4341,E0104,E0108,condition:红页L1HF:10:加砂后,condition_stats:红页L1HF:10:加砂后:排量:mean,no
108,施工情况 加砂后,施工特征,排量方差: 49.4261,E0104,E0109,condition:红页L1HF:10:加砂后,condition_stats:红页L1HF:10:加砂后:排量:var,no
109,施工情况 加砂后,施工特征,施工泵压平均值: 40.5062,E0104,E0110,condition:红页L1HF:10:加砂后,condition_stats:红页L1HF:10:加砂后:施工泵压:mean,no
110,施工情况 加砂后,施工特征,施工泵压方差: 193.9675,E0104,E0111,condition:红页L1HF:10:加砂后,condition_stats:红页L1HF:10:加砂后:施工泵压:var,no
111,施工情况 加砂后,发生工况,工况 主缝延伸,E0104,E0112,condition:红页L1HF:10:加砂后,worktype:红页L1HF:10:加砂后:主缝延伸,no
112,工况 主缝延伸,开始时间,工况时间 2024-01-09 12:06:00,E0112,E0113,worktype:红页L1HF:10:加砂后:主缝延伸,worktype_time:红页L1HF:10:加砂后:主缝延伸,no
113,工况 主缝延伸,施工特征,砂比平均值: 无数据,E0112,E0114,worktype:红页L1HF:10:加砂后:主缝延伸,worktype_stats:红页L1HF:10:加砂后:主缝延伸:砂比:mean,no
114,工况 主缝延伸,施工特征,砂比方差: 无数据,E0112,E0115,worktype:红页L1HF:10:加砂后:主缝延伸,worktype_stats:红页L1HF:10:加砂后:主缝延伸:砂比:var,no
115,工况 主缝延伸,施工特征,排量平均值: 24.09,E0112,E0116,worktype:红页L1HF:10:加砂后:主缝延伸,worktype_stats:红页L1HF:10:加砂后:主缝延伸:排量:mean,no
116,工况 主缝延伸,施工特征,排量方差: 0.0,E0112,E0117,worktype:红页L1HF:10:加砂后:主缝延伸,worktype_stats:红页L1HF:10:加砂后:主缝延伸:排量:var,no
117,工况 主缝延伸,施工特征,施工泵压平均值: 82.56,E0112,E0118,worktype:红页L1HF:10:加砂后:主缝延伸,worktype_stats:红页L1HF:10:加砂后:主缝延伸:施工泵压:mean,no
118,工况 主缝延伸,施工特征,施工泵压方差: 0.0,E0112,E0119,worktype:红页L1HF:10:加砂后:主缝延伸,worktype_stats:红页L1HF:10:加砂后:主缝延伸:施工泵压:var,no
119,工况 主缝延伸,处置建议,当前建议: 保持当前措施,E0112,E0120,worktype:红页L1HF:10:加砂后:主缝延伸,suggestion:红页L1HF:10:加砂后:主缝延伸,no
120,井号 红页L1HF,包含段,段号 11,E0001,E0121,well:红页L1HF,segment:红页L1HF:11,no
121,段号 11,开始时间,段号时间 2024-01-09 16:10:00,E0121,E0122,segment:红页L1HF:11,segment_time:红页L1HF:11,no
122,段号 11,施工特征,砂比平均值: 8.3647,E0121,E0123,segment:红页L1HF:11,segment_stats:红页L1HF:11:砂比:mean,no
123,段号 11,施工特征,砂比方差: 9.2147,E0121,E0124,segment:红页L1HF:11,segment_stats:红页L1HF:11:砂比:var,no
124,段号 11,施工特征,排量平均值: 16.2039,E0121,E0125,segment:红页L1HF:11,segment_stats:红页L1HF:11:排量:mean,no
125,段号 11,施工特征,排量方差: 98.1173,E0121,E0126,segment:红页L1HF:11,segment_stats:红页L1HF:11:排量:var,no
126,段号 11,施工特征,施工泵压平均值: 68.0071,E0121,E0127,segment:红页L1HF:11,segment_stats:红页L1HF:11:施工泵压:mean,no
127,段号 11,施工特征,施工泵压方差: 377.2174,E0121,E0128,segment:红页L1HF:11,segment_stats:红页L1HF:11:施工泵压:var,no
128,段号 11,包含施工阶段,施工情况 加砂前,E0121,E0129,segment:红页L1HF:11,condition:红页L1HF:11:加砂前,no
129,施工情况 加砂前,开始时间,施工时间 2024-01-09 16:10:00,E0129,E0130,condition:红页L1HF:11:加砂前,condition_time:红页L1HF:11:加砂前,no
130,施工情况 加砂前,施工特征,砂比平均值: 无数据,E0129,E0131,condition:红页L1HF:11:加砂前,condition_stats:红页L1HF:11:加砂前:砂比:mean,no
131,施工情况 加砂前,施工特征,砂比方差: 无数据,E0129,E0132,condition:红页L1HF:11:加砂前,condition_stats:红页L1HF:11:加砂前:砂比:var,no
132,施工情况 加砂前,施工特征,排量平均值: 8.181,E0129,E0133,condition:红页L1HF:11:加砂前,condition_stats:红页L1HF:11:加砂前:排量:mean,no
133,施工情况 加砂前,施工特征,排量方差: 52.9865,E0129,E0134,condition:红页L1HF:11:加砂前,condition_stats:红页L1HF:11:加砂前:排量:var,no
134,施工情况 加砂前,施工特征,施工泵压平均值: 56.1228,E0129,E0135,condition:红页L1HF:11:加砂前,condition_stats:红页L1HF:11:加砂前:施工泵压:mean,no
135,施工情况 加砂前,施工特征,施工泵压方差: 484.6932,E0129,E0136,condition:红页L1HF:11:加砂前,condition_stats:红页L1HF:11:加砂前:施工泵压:var,no
136,施工情况 加砂前,发生工况,工况 滤失过大,E0129,E0137,condition:红页L1HF:11:加砂前,worktype:红页L1HF:11:加砂前:滤失过大,no
137,工况 滤失过大,开始时间,工况时间 2024-01-09 16:34:10,E0137,E0138,worktype:红页L1HF:11:加砂前:滤失过大,worktype_time:红页L1HF:11:加砂前:滤失过大,no
138,工况 滤失过大,施工特征,砂比平均值: 无数据,E0137,E0139,worktype:红页L1HF:11:加砂前:滤失过大,worktype_stats:红页L1HF:11:加砂前:滤失过大:砂比:mean,no
139,工况 滤失过大,施工特征,砂比方差: 无数据,E0137,E0140,worktype:红页L1HF:11:加砂前:滤失过大,worktype_stats:红页L1HF:11:加砂前:滤失过大:砂比:var,no
140,工况 滤失过大,施工特征,排量平均值: 17.8437,E0137,E0141,worktype:红页L1HF:11:加砂前:滤失过大,worktype_stats:红页L1HF:11:加砂前:滤失过大:排量:mean,no
141,工况 滤失过大,施工特征,排量方差: 16.8601,E0137,E0142,worktype:红页L1HF:11:加砂前:滤失过大,worktype_stats:红页L1HF:11:加砂前:滤失过大:排量:var,no
142,工况 滤失过大,施工特征,施工泵压平均值: 84.2274,E0137,E0143,worktype:红页L1HF:11:加砂前:滤失过大,worktype_stats:红页L1HF:11:加砂前:滤失过大:施工泵压:mean,no
143,工况 滤失过大,施工特征,施工泵压方差: 35.5345,E0137,E0144,worktype:红页L1HF:11:加砂前:滤失过大,worktype_stats:红页L1HF:11:加砂前:滤失过大:施工泵压:var,no
144,工况 滤失过大,处置建议,当前建议: 保持当前措施,E0137,E0145,worktype:红页L1HF:11:加砂前:滤失过大,suggestion:红页L1HF:11:加砂前:滤失过大,no
145,段号 11,包含施工阶段,施工情况 加砂中,E0121,E0146,segment:红页L1HF:11,condition:红页L1HF:11:加砂中,no
146,施工情况 加砂中,开始时间,施工时间 2024-01-09 16:45:30,E0146,E0147,condition:红页L1HF:11:加砂中,condition_time:红页L1HF:11:加砂中,no
147,施工情况 加砂中,施工特征,砂比平均值: 8.3647,E0146,E0148,condition:红页L1HF:11:加砂中,condition_stats:红页L1HF:11:加砂中:砂比:mean,no
148,施工情况 加砂中,施工特征,砂比方差: 9.2147,E0146,E0149,condition:红页L1HF:11:加砂中,condition_stats:红页L1HF:11:加砂中:砂比:var,no
149,施工情况 加砂中,施工特征,排量平均值: 22.9672,E0146,E0150,condition:红页L1HF:11:加砂中,condition_stats:红页L1HF:11:加砂中:排量:mean,no
150,施工情况 加砂中,施工特征,排量方差: 4.0095,E0146,E0151,condition:红页L1HF:11:加砂中,condition_stats:红页L1HF:11:加砂中:排量:var,no
151,施工情况 加砂中,施工特征,施工泵压平均值: 79.6283,E0146,E0152,condition:红页L1HF:11:加砂中,condition_stats:红页L1HF:11:加砂中:施工泵压:mean,no
152,施工情况 加砂中,施工特征,施工泵压方差: 18.8136,E0146,E0153,condition:红页L1HF:11:加砂中,condition_stats:红页L1HF:11:加砂中:施工泵压:var,no
153,施工情况 加砂中,发生工况,工况 滤失过大,E0146,E0154,condition:红页L1HF:11:加砂中,worktype:红页L1HF:11:加砂中:滤失过大,no
154,工况 滤失过大,开始时间,工况时间 2024-01-09 16:45:30,E0154,E0155,worktype:红页L1HF:11:加砂中:滤失过大,worktype_time:红页L1HF:11:加砂中:滤失过大,no
155,工况 滤失过大,施工特征,砂比平均值: 3.075,E0154,E0156,worktype:红页L1HF:11:加砂中:滤失过大,worktype_stats:红页L1HF:11:加砂中:滤失过大:砂比:mean,no
156,工况 滤失过大,施工特征,砂比方差: 3.6819,E0154,E0157,worktype:红页L1HF:11:加砂中:滤失过大,worktype_stats:红页L1HF:11:加砂中:滤失过大:砂比:var,no
157,工况 滤失过大,施工特征,排量平均值: 24.08,E0154,E0158,worktype:红页L1HF:11:加砂中:滤失过大,worktype_stats:红页L1HF:11:加砂中:滤失过大:排量:mean,no
158,工况 滤失过大,施工特征,排量方差: 0.0,E0154,E0159,worktype:红页L1HF:11:加砂中:滤失过大,worktype_stats:红页L1HF:11:加砂中:滤失过大:排量:var,no
159,工况 滤失过大,施工特征,施工泵压平均值: 73.0225,E0154,E0160,worktype:红页L1HF:11:加砂中:滤失过大,worktype_stats:红页L1HF:11:加砂中:滤失过大:施工泵压:mean,no
160,工况 滤失过大,施工特征,施工泵压方差: 0.0005,E0154,E0161,worktype:红页L1HF:11:加砂中:滤失过大,worktype_stats:红页L1HF:11:加砂中:滤失过大:施工泵压:var,no
161,工况 滤失过大,处置建议,当前建议: 保持当前措施,E0154,E0162,worktype:红页L1HF:11:加砂中:滤失过大,suggestion:红页L1HF:11:加砂中:滤失过大,no
162,施工情况 加砂中,发生工况,工况 缝内暂堵,E0146,E0163,condition:红页L1HF:11:加砂中,worktype:红页L1HF:11:加砂中:缝内暂堵,no
163,工况 缝内暂堵,开始时间,工况时间 2024-01-09 17:03:10,E0163,E0164,worktype:红页L1HF:11:加砂中:缝内暂堵,worktype_time:红页L1HF:11:加砂中:缝内暂堵,no
