entity_id,entity_name,entity_type,description,image_path,audio_path,video_path,source_node_id
E0089,砂比方差: 5.1972,stat,,,,,worktype_stats:红页L1HF:10:加砂中:缝口暂堵:砂比:var
E0090,排量平均值: 21.7838,stat,,,,,worktype_stats:红页L1HF:10:加砂中:缝口暂堵:排量:mean
E0091,排量方差: 7.8297,stat,,,,,worktype_stats:红页L1HF:10:加砂中:缝口暂堵:排量:var
E0092,施工泵压平均值: 76.8416,stat,,,,,worktype_stats:红页L1HF:10:加砂中:缝口暂堵:施工泵压:mean
E0093,施工泵压方差: 90.8287,stat,,,,,worktype_stats:红页L1HF:10:加砂中:缝口暂堵:施工泵压:var
E0094,当前建议: 无建议,suggestion,,,,,suggestion:红页L1HF:10:加砂中:缝口暂堵
E0095,工况 主缝延伸,worktype,,,,,worktype:红页L1HF:10:加砂中:主缝延伸
E0096,工况时间 2024-01-09 11:41:10,time,,,,,worktype_time:红页L1HF:10:加砂中:主缝延伸
E0097,砂比平均值: 10.4547,stat,,,,,worktype_stats:红页L1HF:10:加砂中:主缝延伸:砂比:mean
E0098,砂比方差: 5.7079,stat,,,,,worktype_stats:红页L1HF:10:加砂中:主缝延伸:砂比:var
E0099,排量平均值: 24.0767,stat,,,,,worktype_stats:红页L1HF:10:加砂中:主缝延伸:排量:mean
E0100,排量方差: 0.0005,stat,,,,,worktype_stats:红页L1HF:10:加砂中:主缝延伸:排量:var
E0101,施工泵压平均值: 84.2148,stat,,,,,worktype_stats:红页L1HF:10:加砂中:主缝延伸:施工泵压:mean
E0102,施工泵压方差: 5.8633,stat,,,,,worktype_stats:红页L1HF:10:加砂中:主缝延伸:施工泵压:var
E0103,当前建议: 保持当前措施,suggestion,,,,,suggestion:红页L1HF:10:加砂中:主缝延伸
E0104,施工情况 加砂后,condition,,,,,condition:红页L1HF:10:加砂后
E0105,施工时间 2024-01-09 12:06:00,time,,,,,condition_time:红页L1HF:10:加砂后
E0106,砂比平均值: 无数据,stat,,,,,condition_stats:红页L1HF:10:加砂后:砂比:mean
E0107,砂比方差: 无数据,stat,,,,,condition_stats:红页L1HF:10:加砂后:砂比:var
E0108,排量平均值: 2.4341,stat,,,,,condition_stats:红页L1HF:10:加砂后:排量:mean
E0109,排量方差: 49.4261,stat,,,,,condition_stats:红页L1HF:10:加砂后:排量:var
E0110,施工泵压平均值: 40.5062,stat,,,,,condition_stats:红页L1HF:10:加砂后:施工泵压:mean
E0111,施工泵压方差: 193.9675,stat,,,,,condition_stats:红页L1HF:10:加砂后:施工泵压:var
E0112,工况 主缝延伸,worktype,,,,,worktype:红页L1HF:10:加砂后:主缝延伸
E0113,工况时间 2024-01-09 12:06:00,time,,,,,worktype_time:红页L1HF:10:加砂后:主缝延伸
E0114,砂比平均值: 无数据,stat,,,,,worktype_stats:红页L1HF:10:加砂后:主缝延伸:砂比:mean
E0115,砂比方差: 无数据,stat,,,,,worktype_stats:红页L1HF:10:加砂后:主缝延伸:砂比:var
E0116,排量平均值: 24.09,stat,,,,,worktype_stats:红页L1HF:10:加砂后:主缝延伸:排量:mean
E0117,排量方差: 0.0,stat,,,,,worktype_stats:红页L1HF:10:加砂后:主缝延伸:排量:var
E0118,施工泵压平均值: 82.56,stat,,,,,worktype_stats:红页L1HF:10:加砂后:主缝延伸:施工泵压:mean
E0119,施工泵压方差: 0.0,stat,,,,,worktype_stats:红页L1HF:10:加砂后:主缝延伸:施工泵压:var
E0120,当前建议: 保持当前措施,suggestion,,,,,suggestion:红页L1HF:10:加砂后:主缝延伸
E0121,段号 11,segment,,,,,segment:红页L1HF:11
E0122,段号时间 2024-01-09 16:10:00,time,,,,,segment_time:红页L1HF:11
E0123,砂比平均值: 8.3647,stat,,,,,segment_stats:红页L1HF:11:砂比:mean
E0124,砂比方差: 9.2147,stat,,,,,segment_stats:红页L1HF:11:砂比:var
E0125,排量平均值: 16.2039,stat,,,,,segment_stats:红页L1HF:11:排量:mean
E0126,排量方差: 98.1173,stat,,,,,segment_stats:红页L1HF:11:排量:var
E0127,施工泵压平均值: 68.0071,stat,,,,,segment_stats:红页L1HF:11:施工泵压:mean
E0128,施工泵压方差: 377.2174,stat,,,,,segment_stats:红页L1HF:11:施工泵压:var
E0129,施工情况 加砂前,condition,,,,,condition:红页L1HF:11:加砂前
E0130,施工时间 2024-01-09 16:10:00,time,,,,,condition_time:红页L1HF:11:加砂前
E0131,砂比平均值: 无数据,stat,,,,,condition_stats:红页L1HF:11:加砂前:砂比:mean
E0132,砂比方差: 无数据,stat,,,,,condition_stats:红页L1HF:11:加砂前:砂比:var
E0133,排量平均值: 8.181,stat,,,,,condition_stats:红页L1HF:11:加砂前:排量:mean
E0134,排量方差: 52.9865,stat,,,,,condition_stats:红页L1HF:11:加砂前:排量:var
E0135,施工泵压平均值: 56.1228,stat,,,,,condition_stats:红页L1HF:11:加砂前:施工泵压:mean
E0136,施工泵压方差: 484.6932,stat,,,,,condition_stats:红页L1HF:11:加砂前:施工泵压:var
E0137,工况 滤失过大,worktype,,,,,worktype:红页L1HF:11:加砂前:滤失过大
E0138,工况时间 2024-01-09 16:34:10,time,,,,,worktype_time:红页L1HF:11:加砂前:滤失过大
E0139,砂比平均值: 无数据,stat,,,,,worktype_stats:红页L1HF:11:加砂前:滤失过大:砂比:mean
E0140,砂比方差: 无数据,stat,,,,,worktype_stats:红页L1HF:11:加砂前:滤失过大:砂比:var
E0141,排量平均值: 17.8437,stat,,,,,worktype_stats:红页L1HF:11:加砂前:滤失过大:排量:mean
E0142,排量方差: 16.8601,stat,,,,,worktype_stats:红页L1HF:11:加砂前:滤失过大:排量:var
E0143,施工泵压平均值: 84.2274,stat,,,,,worktype_stats:红页L1HF:11:加砂前:滤失过大:施工泵压:mean
E0144,施工泵压方差: 35.5345,stat,,,,,worktype_stats:红页L1HF:11:加砂前:滤失过大:施工泵压:var
E0145,当前建议: 保持当前措施,suggestion,,,,,suggestion:红页L1HF:11:加砂前:滤失过大
E0146,施工情况 加砂中,condition,,,,,condition:红页L1HF:11:加砂中
E0147,施工时间 2024-01-09 16:45:30,time,,,,,condition_time:红页L1HF:11:加砂中
E0148,砂比平均值: 8.3647,stat,,,,,condition_stats:红页L1HF:11:加砂中:砂比:mean
E0149,砂比方差: 9.2147,stat,,,,,condition_stats:红页L1HF:11:加砂中:砂比:var
E0150,排量平均值: 22.9672,stat,,,,,condition_stats:红页L1HF:11:加砂中:排量:mean
E0151,排量方差: 4.0095,stat,,,,,condition_stats:红页L1HF:11:加砂中:排量:var
E0152,施工泵压平均值: 79.6283,stat,,,,,condition_stats:红页L1HF:11:加砂中:施工泵压:mean
E0153,施工泵压方差: 18.8136,stat,,,,,condition_stats:红页L1HF:11:加砂中:施工泵压:var
E0154,工况 滤失过大,worktype,,,,,worktype:红页L1HF:11:加砂中:滤失过大
E0155,工况时间 2024-01-09 16:45:30,time,,,,,worktype_time:红页L1HF:11:加砂中:滤失过大
E0156,砂比平均值: 3.075,stat,,,,,worktype_stats:红页L1HF:11:加砂中:滤失过大:砂比:mean
E0157,砂比方差: 3.6819,stat,,,,,worktype_stats:红页L1HF:11:加砂中:滤失过大:砂比:var
E0158,排量平均值: 24.08,stat,,,,,worktype_stats:红页L1HF:11:加砂中:滤失过大:排量:mean
E0159,排量方差: 0.0,stat,,,,,worktype_stats:红页L1HF:11:加砂中:滤失过大:排量:var
E0160,施工泵压平均值: 73.0225,stat,,,,,worktype_stats:红页L1HF:11:加砂中:滤失过大:施工泵压:mean
E0161,施工泵压方差: 0.0005,stat,,,,,worktype_stats:红页L1HF:11:加砂中:滤失过大:施工泵压:var
E0162,当前建议: 保持当前措施,suggestion,,,,,suggestion:红页L1HF:11:加砂中:滤失过大
E0163,工况 缝内暂堵,worktype,,,,,worktype:红页L1HF:11:加砂中:缝内暂堵
E0164,工况时间 2024-01-09 17:03:10,time,,,,,worktype_time:红页L1HF:11:加砂中:缝内暂堵
E0165,砂比平均值: 5.4194,stat,,,,,worktype_stats:红页L1HF:11:加砂中:缝内暂堵:砂比:mean
E0166,砂比方差: 2.7383,stat,,,,,worktype_stats:红页L1HF:11:加砂中:缝内暂堵:砂比:var
E0167,排量平均值: 24.0343,stat,,,,,worktype_stats:红页L1HF:11:加砂中:缝内暂堵:排量:mean
E0168,排量方差: 0.0016,stat,,,,,worktype_stats:红页L1HF:11:加砂中:缝内暂堵:排量:var
E0169,施工泵压平均值: 77.4853,stat,,,,,worktype_stats:红页L1HF:11:加砂中:缝内暂堵:施工泵压:mean
E0170,施工泵压方差: 4.5135,stat,,,,,worktype_stats:红页L1HF:11:加砂中:缝内暂堵:施工泵压:var
E0171,当前建议: 无建议,suggestion,,,,,suggestion:红页L1HF:11:加砂中:缝内暂堵
E0172,工况 缝口暂堵,worktype,,,,,worktype:红页L1HF:11:加砂中:缝口暂堵
E0173,工况时间 2024-01-09 17:19:50,time,,,,,worktype_time:红页L1HF:11:加砂中:缝口暂堵
E0174,砂比平均值: 6.0189,stat,,,,,worktype_stats:红页L1HF:11:加砂中:缝口暂堵:砂比:mean
E0175,砂比方差: 9.1929,stat,,,,,worktype_stats:红页L1HF:11:加砂中:缝口暂堵:砂比:var
E0176,排量平均值: 21.3527,stat,,,,,worktype_stats:红页L1HF:11:加砂中:缝口暂堵:排量:mean
E0177,排量方差: 6.4811,stat,,,,,worktype_stats:红页L1HF:11:加砂中:缝口暂堵:排量:var
E0178,施工泵压平均值: 78.7871,stat,,,,,worktype_stats:红页L1HF:11:加砂中:缝口暂堵:施工泵压:mean
E0179,施工泵压方差: 43.9393,stat,,,,,worktype_stats:红页L1HF:11:加砂中:缝口暂堵:施工泵压:var
E0180,当前建议: 无建议,suggestion,,,,,suggestion:红页L1HF:11:加砂中:缝口暂堵
E0181,工况 主缝延伸,worktype,,,,,worktype:红页L1HF:11:加砂中:主缝延伸
E0182,工况时间 2024-01-09 18:26:40,time,,,,,worktype_time:红页L1HF:11:加砂中:主缝延伸
E0183,砂比平均值: 6.7768,stat,,,,,worktype_stats:红页L1HF:11:加砂中:主缝延伸:砂比:mean
E0184,砂比方差: 5.0149,stat,,,,,worktype_stats:红页L1HF:11:加砂中:主缝延伸:砂比:var
E0185,排量平均值: 22.2497,stat,,,,,worktype_stats:红页L1HF:11:加砂中:主缝延伸:排量:mean
E0186,排量方差: 0.0302,stat,,,,,worktype_stats:红页L1HF:11:加砂中:主缝延伸:排量:var
E0187,施工泵压平均值: 83.2476,stat,,,,,worktype_stats:红页L1HF:11:加砂中:主缝延伸:施工泵压:mean
E0188,施工泵压方差: 2.8783,stat,,,,,worktype_stats:红页L1HF:11:加砂中:主缝延伸:施工泵压:var
E0189,当前建议: 无建议,suggestion,,,,,suggestion:红页L1HF:11:加砂中:主缝延伸
E0190,施工情况 加砂后,condition,,,,,condition:红页L1HF:11:加砂后
E0191,施工时间 2024-01-09 18:53:40,time,,,,,condition_time:红页L1HF:11:加砂后
E0192,砂比平均值: 无数据,stat,,,,,condition_stats:红页L1HF:11:加砂后:砂比:mean
E0193,砂比方差: 无数据,stat,,,,,condition_stats:红页L1HF:11:加砂后:砂比:var
E0194,排量平均值: 2.4315,stat,,,,,condition_stats:红页L1HF:11:加砂后:排量:mean
E0195,排量方差: 45.9831,stat,,,,,condition_stats:红页L1HF:11:加砂后:排量:var
E0196,施工泵压平均值: 42.3954,stat,,,,,condition_stats:红页L1HF:11:加砂后:施工泵压:mean
E0197,施工泵压方差: 192.6975,stat,,,,,condition_stats:红页L1HF:11:加砂后:施工泵压:var
E0198,工况 主缝延伸,worktype,,,,,worktype:红页L1HF:11:加砂后:主缝延伸
E0199,工况时间 2024-01-09 18:53:40,time,,,,,worktype_time:红页L1HF:11:加砂后:主缝延伸
E0200,砂比平均值: 无数据,stat,,,,,worktype_stats:红页L1HF:11:加砂后:主缝延伸:砂比:mean
E0201,砂比方差: 无数据,stat,,,,,worktype_stats:红页L1HF:11:加砂后:主缝延伸:砂比:var
E0202,排量平均值: 22.28,stat,,,,,worktype_stats:红页L1HF:11:加砂后:主缝延伸:排量:mean
E0203,排量方差: 0.0,stat,,,,,worktype_stats:红页L1HF:11:加砂后:主缝延伸:排量:var
E0204,施工泵压平均值: 83.2775,stat,,,,,worktype_stats:红页L1HF:11:加砂后:主缝延伸:施工泵压:mean
E0205,施工泵压方差: 0.0026,stat,,,,,worktype_stats:红页L1HF:11:加砂后:主缝延伸:施工泵压:var
E0206,当前建议: 无建议,suggestion,,,,,suggestion:红页L1HF:11:加砂后:主缝延伸
E0207,段号 12,segment,,,,,segment:红页L1HF:12
E0208,段号时间 2024-01-10 07:57:30,time,,,,,segment_time:红页L1HF:12
E0209,砂比平均值: 9.8198,stat,,,,,segment_stats:红页L1HF:12:砂比:mean
E0210,砂比方差: 6.9018,stat,,,,,segment_stats:红页L1HF:12:砂比:var
E0211,排量平均值: 16.2737,stat,,,,,segment_stats:红页L1HF:12:排量:mean
E0212,排量方差: 107.9838,stat,,,,,segment_stats:红页L1HF:12:排量:var
E0213,施工泵压平均值: 66.5042,stat,,,,,segment_stats:红页L1HF:12:施工泵压:mean
E0214,施工泵压方差: 322.1387,stat,,,,,segment_stats:红页L1HF:12:施工泵压:var
E0215,施工情况 加砂前,condition,,,,,condition:红页L1HF:12:加砂前
E0216,施工时间 2024-01-10 07:57:30,time,,,,,condition_time:红页L1HF:12:加砂前
E0217,砂比平均值: 无数据,stat,,,,,condition_stats:红页L1HF:12:加砂前:砂比:mean
E0218,砂比方差: 无数据,stat,,,,,condition_stats:红页L1HF:12:加砂前:砂比:var
E0219,排量平均值: 8.5328,stat,,,,,condition_stats:红页L1HF:12:加砂前:排量:mean
E0220,排量方差: 55.1458,stat,,,,,condition_stats:红页L1HF:12:加砂前:排量:var
E0221,施工泵压平均值: 58.951,stat,,,,,condition_stats:红页L1HF:12:加砂前:施工泵压:mean
E0222,施工泵压方差: 461.8671,stat,,,,,condition_stats:红页L1HF:12:加砂前:施工泵压:var
E0223,工况 缝高延伸,worktype,,,,,worktype:红页L1HF:12:加砂前:缝高延伸
E0224,工况时间 2024-01-10 08:19:40,time,,,,,worktype_time:红页L1HF:12:加砂前:缝高延伸
E0225,砂比平均值: 无数据,stat,,,,,worktype_stats:红页L1HF:12:加砂前:缝高延伸:砂比:mean
E0226,砂比方差: 无数据,stat,,,,,worktype_stats:红页L1HF:12:加砂前:缝高延伸:砂比:var
E0227,排量平均值: 18.0186,stat,,,,,worktype_stats:红页L1HF:12:加砂前:缝高延伸:排量:mean
E0228,排量方差: 16.46,stat,,,,,worktype_stats:红页L1HF:12:加砂前:缝高延伸:排量:var
E0229,施工泵压平均值: 84.5251,stat,,,,,worktype_stats:红页L1HF:12:加砂前:缝高延伸:施工泵压:mean
E0230,施工泵压方差: 31.0088,stat,,,,,worktype_stats:红页L1HF:12:加砂前:缝高延伸:施工泵压:var
E0231,当前建议: 保持当前措施,suggestion,,,,,suggestion:红页L1HF:12:加砂前:缝高延伸
E0232,施工情况 加砂中,condition,,,,,condition:红页L1HF:12:加砂中
E0233,施工时间 2024-01-10 08:31:00,time,,,,,condition_time:红页L1HF:12:加砂中
E0234,砂比平均值: 9.8198,stat,,,,,condition_stats:红页L1HF:12:加砂中:砂比:mean
E0235,砂比方差: 6.9018,stat,,,,,condition_stats:红页L1HF:12:加砂中:砂比:var
E0236,排量平均值: 23.7324,stat,,,,,condition_stats:红页L1HF:12:加砂中:排量:mean
E0237,排量方差: 2.1989,stat,,,,,condition_stats:红页L1HF:12:加砂中:排量:var
E0238,施工泵压平均值: 77.2594,stat,,,,,condition_stats:红页L1HF:12:加砂中:施工泵压:mean
E0239,施工泵压方差: 15.2208,stat,,,,,condition_stats:红页L1HF:12:加砂中:施工泵压:var
E0240,工况 缝内暂堵,worktype,,,,,worktype:红页L1HF:12:加砂中:缝内暂堵
E0241,工况时间 2024-01-10 08:48:10,time,,,,,worktype_time:红页L1HF:12:加砂中:缝内暂堵
E0242,砂比平均值: 6.3645,stat,,,,,worktype_stats:红页L1HF:12:加砂中:缝内暂堵:砂比:mean
E0243,砂比方差: 2.6942,stat,,,,,worktype_stats:红页L1HF:12:加砂中:缝内暂堵:砂比:var
E0244,排量平均值: 24.0116,stat,,,,,worktype_stats:红页L1HF:12:加砂中:缝内暂堵:排量:mean
E0245,排量方差: 0.0001,stat,,,,,worktype_stats:红页L1HF:12:加砂中:缝内暂堵:排量:var
E0246,施工泵压平均值: 76.5925,stat,,,,,worktype_stats:红页L1HF:12:加砂中:缝内暂堵:施工泵压:mean
E0247,施工泵压方差: 8.9653,stat,,,,,worktype_stats:红页L1HF:12:加砂中:缝内暂堵:施工泵压:var
E0248,当前建议: 无建议,suggestion,,,,,suggestion:红页L1HF:12:加砂中:缝内暂堵
E0249,工况 缝口暂堵,worktype,,,,,worktype:红页L1HF:12:加砂中:缝口暂堵
E0250,工况时间 2024-01-10 09:49:40,time,,,,,worktype_time:红页L1HF:12:加砂中:缝口暂堵
E0251,砂比平均值: 8.5068,stat,,,,,worktype_stats:红页L1HF:12:加砂中:缝口暂堵:砂比:mean
E0252,砂比方差: 7.6261,stat,,,,,worktype_stats:红页L1HF:12:加砂中:缝口暂堵:砂比:var
E0253,排量平均值: 22.1333,stat,,,,,worktype_stats:红页L1HF:12:加砂中:缝口暂堵:排量:mean
E0254,排量方差: 11.7725,stat,,,,,worktype_stats:红页L1HF:12:加砂中:缝口暂堵:排量:var
E0255,施工泵压平均值: 73.1143,stat,,,,,worktype_stats:红页L1HF:12:加砂中:缝口暂堵:施工泵压:mean
E0256,施工泵压方差: 50.9636,stat,,,,,worktype_stats:红页L1HF:12:加砂中:缝口暂堵:施工泵压:var
E0257,当前建议: 无建议,suggestion,,,,,suggestion:红页L1HF:12:加砂中:缝口暂堵
E0258,施工情况 加砂后,condition,,,,,condition:红页L1HF:12:加砂后
E0259,施工时间 2024-01-10 10:31:10,time,,,,,condition_time:红页L1HF:12:加砂后
E0260,砂比平均值: 无数据,stat,,,,,condition_stats:红页L1HF:12:加砂后:砂比:mean
E0261,砂比方差: 无数据,stat,,,,,condition_stats:红页L1HF:12:加砂后:砂比:var
E0262,排量平均值: 1.9561,stat,,,,,condition_stats:红页L1HF:12:加砂后:排量:mean
E0263,排量方差: 40.3114,stat,,,,,condition_stats:红页L1HF:12:加砂后:排量:var
E0264,施工泵压平均值: 42.5641,stat,,,,,condition_stats:红页L1HF:12:加砂后:施工泵压:mean
E0265,施工泵压方差: 117.6677,stat,,,,,condition_stats:红页L1HF:12:加砂后:施工泵压:var
E0266,段号 13,segment,,,,,segment:红页L1HF:13
E0267,段号时间 2024-01-10 14:57:40,time,,,,,segment_time:红页L1HF:13
E0268,砂比平均值: 9.4558,stat,,,,,segment_stats:红页L1HF:13:砂比:mean
E0269,砂比方差: 7.3203,stat,,,,,segment_stats:红页L1HF:13:砂比:var
E0270,排量平均值: 16.2405,stat,,,,,segment_stats:红页L1HF:13:排量:mean
E0271,排量方差: 107.5521,stat,,,,,segment_stats:红页L1HF:13:排量:var
