id,head,relation,tail,head_entity_id,tail_entity_id,head_source_id,tail_source_id
15,时间窗 W002,采用液型,0.12%减阻水@时间窗 W002,E00009,E00011,time_window:红页L1HF:1:2,fluid_usage:红页L1HF:1:2:0.12%减阻水
16,0.12%减阻水@时间窗 W002,液型类别,液型 0.12%减阻水,E00011,E00010,fluid_usage:红页L1HF:1:2:0.12%减阻水,fluid_type:0.12%减阻水
17,0.12%减阻水@时间窗 W002,开始时间,2024-01-04 14:22:00,E00011,,fluid_usage:红页L1HF:1:2:0.12%减阻水,
18,0.12%减阻水@时间窗 W002,结束时间,2024-01-04 14:25:10,E00011,,fluid_usage:红页L1HF:1:2:0.12%减阻水,
19,0.12%减阻水@时间窗 W002,持续时间,3分钟10秒,E00011,,fluid_usage:红页L1HF:1:2:0.12%减阻水,
20,0.12%减阻水@时间窗 W002,泵压特征,"施工泵压变化 起7.61→止61.13，变化53.52，均值48.94，范围[7.61, 63.26]",E00011,E00012,fluid_usage:红页L1HF:1:2:0.12%减阻水,pressure_feature:红页L1HF:1:2
21,0.12%减阻水@时间窗 W002,排量特征,"排量变化 起0.73→止1.15，变化0.42，均值1.1355，范围[0.73, 1.27]",E00011,E00013,fluid_usage:红页L1HF:1:2:0.12%减阻水,flow_feature:红页L1HF:1:2
22,0.12%减阻水@时间窗 W002,砂比特征,砂比变化：0,E00011,E00014,fluid_usage:红页L1HF:1:2:0.12%减阻水,sand_feature:红页L1HF:1:2
23,时间窗 W002,施工特征,"施工泵压变化 起7.61→止61.13，变化53.52，均值48.94，范围[7.61, 63.26]",E00009,E00012,time_window:红页L1HF:1:2,pressure_feature:红页L1HF:1:2
24,时间窗 W002,施工特征,"排量变化 起0.73→止1.15，变化0.42，均值1.1355，范围[0.73, 1.27]",E00009,E00013,time_window:红页L1HF:1:2,flow_feature:红页L1HF:1:2
25,时间窗 W002,砂比特征,砂比变化：0,E00009,E00014,time_window:红页L1HF:1:2,sand_feature:红页L1HF:1:2
26,段 1,包含时间窗,时间窗 W003,E00002,E00015,segment:红页L1HF:1,time_window:红页L1HF:1:3
27,时间窗 W003,采用液型,15%HCl@时间窗 W003,E00015,E00017,time_window:红页L1HF:1:3,fluid_usage:红页L1HF:1:3:15%HCl
28,15%HCl@时间窗 W003,液型类别,液型 15%HCl,E00017,E00016,fluid_usage:红页L1HF:1:3:15%HCl,fluid_type:15%HCl
29,15%HCl@时间窗 W003,开始时间,2024-01-04 14:25:20,E00017,,fluid_usage:红页L1HF:1:3:15%HCl,
30,15%HCl@时间窗 W003,结束时间,2024-01-04 14:35:30,E00017,,fluid_usage:红页L1HF:1:3:15%HCl,
31,15%HCl@时间窗 W003,持续时间,10分钟10秒,E00017,,fluid_usage:红页L1HF:1:3:15%HCl,
32,15%HCl@时间窗 W003,泵压特征,"施工泵压变化 起60.83→止52.09，变化-8.74，均值56.569，范围[52.09, 60.91]",E00017,E00018,fluid_usage:红页L1HF:1:3:15%HCl,pressure_feature:红页L1HF:1:3
33,15%HCl@时间窗 W003,排量特征,"排量变化 起1.15→止2.09，变化0.94，均值1.9736，范围[1.15, 2.09]",E00017,E00019,fluid_usage:红页L1HF:1:3:15%HCl,flow_feature:红页L1HF:1:3
34,15%HCl@时间窗 W003,砂比特征,砂比变化：0,E00017,E00020,fluid_usage:红页L1HF:1:3:15%HCl,sand_feature:红页L1HF:1:3
35,时间窗 W003,施工特征,"施工泵压变化 起60.83→止52.09，变化-8.74，均值56.569，范围[52.09, 60.91]",E00015,E00018,time_window:红页L1HF:1:3,pressure_feature:红页L1HF:1:3
36,时间窗 W003,施工特征,"排量变化 起1.15→止2.09，变化0.94，均值1.9736，范围[1.15, 2.09]",E00015,E00019,time_window:红页L1HF:1:3,flow_feature:红页L1HF:1:3
37,时间窗 W003,砂比特征,砂比变化：0,E00015,E00020,time_window:红页L1HF:1:3,sand_feature:红页L1HF:1:3
38,段 1,包含时间窗,时间窗 W004,E00002,E00021,segment:红页L1HF:1,time_window:红页L1HF:1:4
39,时间窗 W004,采用液型,0.25%减阻水@时间窗 W004,E00021,E00023,time_window:红页L1HF:1:4,fluid_usage:红页L1HF:1:4:0.25%减阻水
40,0.25%减阻水@时间窗 W004,液型类别,液型 0.25%减阻水,E00023,E00022,fluid_usage:红页L1HF:1:4:0.25%减阻水,fluid_type:0.25%减阻水
41,0.25%减阻水@时间窗 W004,开始时间,2024-01-04 14:35:40,E00023,,fluid_usage:红页L1HF:1:4:0.25%减阻水,
42,0.25%减阻水@时间窗 W004,结束时间,2024-01-04 15:09:10,E00023,,fluid_usage:红页L1HF:1:4:0.25%减阻水,
43,0.25%减阻水@时间窗 W004,持续时间,33分钟30秒,E00023,,fluid_usage:红页L1HF:1:4:0.25%减阻水,
44,0.25%减阻水@时间窗 W004,泵压特征,"施工泵压变化 起51.85→止69.5，变化17.65，均值65.8426，范围[45.04, 91.04]",E00023,E00024,fluid_usage:红页L1HF:1:4:0.25%减阻水,pressure_feature:红页L1HF:1:4
45,0.25%减阻水@时间窗 W004,排量特征,"排量变化 起2.09→止20.02，变化17.93，均值9.5403，范围[1.86, 20.23]",E00023,E00025,fluid_usage:红页L1HF:1:4:0.25%减阻水,flow_feature:红页L1HF:1:4
46,0.25%减阻水@时间窗 W004,砂比特征,"砂比变化 起3.3→止3，变化-0.3，均值3.0176，范围[3, 3.3]",E00023,E00026,fluid_usage:红页L1HF:1:4:0.25%减阻水,sand_feature:红页L1HF:1:4
47,时间窗 W004,施工特征,"施工泵压变化 起51.85→止69.5，变化17.65，均值65.8426，范围[45.04, 91.04]",E00021,E00024,time_window:红页L1HF:1:4,pressure_feature:红页L1HF:1:4
48,时间窗 W004,施工特征,"排量变化 起2.09→止20.02，变化17.93，均值9.5403，范围[1.86, 20.23]",E00021,E00025,time_window:红页L1HF:1:4,flow_feature:红页L1HF:1:4
49,时间窗 W004,砂比特征,"砂比变化 起3.3→止3，变化-0.3，均值3.0176，范围[3, 3.3]",E00021,E00026,time_window:红页L1HF:1:4,sand_feature:红页L1HF:1:4
50,段 1,包含时间窗,时间窗 W005,E00002,E00027,segment:红页L1HF:1,time_window:红页L1HF:1:5
51,时间窗 W005,采用液型,0.12%减阻水@时间窗 W005,E00027,E00028,time_window:红页L1HF:1:5,fluid_usage:红页L1HF:1:5:0.12%减阻水
52,0.12%减阻水@时间窗 W005,液型类别,液型 0.12%减阻水,E00028,E00010,fluid_usage:红页L1HF:1:5:0.12%减阻水,fluid_type:0.12%减阻水
53,0.12%减阻水@时间窗 W005,开始时间,2024-01-04 15:09:20,E00028,,fluid_usage:红页L1HF:1:5:0.12%减阻水,
54,0.12%减阻水@时间窗 W005,结束时间,2024-01-04 15:42:10,E00028,,fluid_usage:红页L1HF:1:5:0.12%减阻水,
55,0.12%减阻水@时间窗 W005,持续时间,32分钟50秒,E00028,,fluid_usage:红页L1HF:1:5:0.12%减阻水,
56,0.12%减阻水@时间窗 W005,泵压特征,"施工泵压变化 起69.38→止70.85，变化1.47，均值70.7737，范围[67.17, 73.02]",E00028,E00029,fluid_usage:红页L1HF:1:5:0.12%减阻水,pressure_feature:红页L1HF:1:5
57,0.12%减阻水@时间窗 W005,排量特征,"排量变化 起20.02→止21，变化0.98，均值20.6092，范围[19.95, 21]",E00028,E00030,fluid_usage:红页L1HF:1:5:0.12%减阻水,flow_feature:红页L1HF:1:5
58,0.12%减阻水@时间窗 W005,砂比特征,"砂比变化 起3→止0.4，变化-2.6，均值6.3691，范围[0.4, 9.2]",E00028,E00031,fluid_usage:红页L1HF:1:5:0.12%减阻水,sand_feature:红页L1HF:1:5
59,时间窗 W005,施工特征,"施工泵压变化 起69.38→止70.85，变化1.47，均值70.7737，范围[67.17, 73.02]",E00027,E00029,time_window:红页L1HF:1:5,pressure_feature:红页L1HF:1:5
60,时间窗 W005,施工特征,"排量变化 起20.02→止21，变化0.98，均值20.6092，范围[19.95, 21]",E00027,E00030,time_window:红页L1HF:1:5,flow_feature:红页L1HF:1:5
61,时间窗 W005,砂比特征,"砂比变化 起3→止0.4，变化-2.6，均值6.3691，范围[0.4, 9.2]",E00027,E00031,time_window:红页L1HF:1:5,sand_feature:红页L1HF:1:5
62,段 1,包含时间窗,时间窗 W006,E00002,E00032,segment:红页L1HF:1,time_window:红页L1HF:1:6
63,时间窗 W006,采用液型,0.18%减阻水@时间窗 W006,E00032,E00034,time_window:红页L1HF:1:6,fluid_usage:红页L1HF:1:6:0.18%减阻水
64,0.18%减阻水@时间窗 W006,液型类别,液型 0.18%减阻水,E00034,E00033,fluid_usage:红页L1HF:1:6:0.18%减阻水,fluid_type:0.18%减阻水
65,0.18%减阻水@时间窗 W006,开始时间,2024-01-04 15:42:20,E00034,,fluid_usage:红页L1HF:1:6:0.18%减阻水,
66,0.18%减阻水@时间窗 W006,结束时间,2024-01-04 15:55:20,E00034,,fluid_usage:红页L1HF:1:6:0.18%减阻水,
67,0.18%减阻水@时间窗 W006,持续时间,13分钟,E00034,,fluid_usage:红页L1HF:1:6:0.18%减阻水,
68,0.18%减阻水@时间窗 W006,泵压特征,"施工泵压变化 起70.84→止70.03，变化-0.81，均值70.3842，范围[69, 71.23]",E00034,E00035,fluid_usage:红页L1HF:1:6:0.18%减阻水,pressure_feature:红页L1HF:1:6
69,0.18%减阻水@时间窗 W006,排量特征,"排量变化 起20.99→止21，变化0.01，均值20.997，范围[20.99, 21]",E00034,E00036,fluid_usage:红页L1HF:1:6:0.18%减阻水,flow_feature:红页L1HF:1:6
70,0.18%减阻水@时间窗 W006,砂比特征,"砂比变化 起3.8→止0.7，变化-3.1，均值7.93，范围[0.7, 9.1]",E00034,E00037,fluid_usage:红页L1HF:1:6:0.18%减阻水,sand_feature:红页L1HF:1:6
71,时间窗 W006,施工特征,"施工泵压变化 起70.84→止70.03，变化-0.81，均值70.3842，范围[69, 71.23]",E00032,E00035,time_window:红页L1HF:1:6,pressure_feature:红页L1HF:1:6
72,时间窗 W006,施工特征,"排量变化 起20.99→止21，变化0.01，均值20.997，范围[20.99, 21]",E00032,E00036,time_window:红页L1HF:1:6,flow_feature:红页L1HF:1:6
73,时间窗 W006,砂比特征,"砂比变化 起3.8→止0.7，变化-3.1，均值7.93，范围[0.7, 9.1]",E00032,E00037,time_window:红页L1HF:1:6,sand_feature:红页L1HF:1:6
74,段 1,包含时间窗,时间窗 W007,E00002,E00038,segment:红页L1HF:1,time_window:红页L1HF:1:7
75,时间窗 W007,采用液型,0.12%减阻水@时间窗 W007,E00038,E00039,time_window:红页L1HF:1:7,fluid_usage:红页L1HF:1:7:0.12%减阻水
76,0.12%减阻水@时间窗 W007,液型类别,液型 0.12%减阻水,E00039,E00010,fluid_usage:红页L1HF:1:7:0.12%减阻水,fluid_type:0.12%减阻水
77,0.12%减阻水@时间窗 W007,开始时间,2024-01-04 15:55:30,E00039,,fluid_usage:红页L1HF:1:7:0.12%减阻水,
78,0.12%减阻水@时间窗 W007,结束时间,2024-01-04 15:59:10,E00039,,fluid_usage:红页L1HF:1:7:0.12%减阻水,
79,0.12%减阻水@时间窗 W007,持续时间,3分钟40秒,E00039,,fluid_usage:红页L1HF:1:7:0.12%减阻水,
80,0.12%减阻水@时间窗 W007,泵压特征,"施工泵压变化 起70.09→止39.47，变化-30.62，均值65.0296，范围[39.47, 70.09]",E00039,E00040,fluid_usage:红页L1HF:1:7:0.12%减阻水,pressure_feature:红页L1HF:1:7
81,0.12%减阻水@时间窗 W007,排量特征,"排量变化 起21→止2.32，变化-18.68，均值19.1022，范围[2.32, 21]",E00039,E00041,fluid_usage:红页L1HF:1:7:0.12%减阻水,flow_feature:红页L1HF:1:7
82,0.12%减阻水@时间窗 W007,砂比特征,砂比变化：0,E00039,E00042,fluid_usage:红页L1HF:1:7:0.12%减阻水,sand_feature:红页L1HF:1:7
83,时间窗 W007,施工特征,"施工泵压变化 起70.09→止39.47，变化-30.62，均值65.0296，范围[39.47, 70.09]",E00038,E00040,time_window:红页L1HF:1:7,pressure_feature:红页L1HF:1:7
84,时间窗 W007,施工特征,"排量变化 起21→止2.32，变化-18.68，均值19.1022，范围[2.32, 21]",E00038,E00041,time_window:红页L1HF:1:7,flow_feature:红页L1HF:1:7
85,时间窗 W007,砂比特征,砂比变化：0,E00038,E00042,time_window:红页L1HF:1:7,sand_feature:红页L1HF:1:7
86,段 1,包含时间窗,时间窗 W008,E00002,E00043,segment:红页L1HF:1,time_window:红页L1HF:1:8
87,时间窗 W008,采用液型,0@时间窗 W008,E00043,E00045,time_window:红页L1HF:1:8,fluid_usage:红页L1HF:1:8:0
88,0@时间窗 W008,液型类别,液型 0,E00045,E00044,fluid_usage:红页L1HF:1:8:0,fluid_type:0
89,0@时间窗 W008,开始时间,2024-01-04 15:59:20,E00045,,fluid_usage:红页L1HF:1:8:0,
90,0@时间窗 W008,结束时间,2024-01-04 16:26:30,E00045,,fluid_usage:红页L1HF:1:8:0,
91,0@时间窗 W008,持续时间,27分钟10秒,E00045,,fluid_usage:红页L1HF:1:8:0,
92,0@时间窗 W008,泵压特征,"施工泵压变化 起36.53→止0，变化-36.53，均值23.6607，范围[0, 36.66]",E00045,E00046,fluid_usage:红页L1HF:1:8:0,pressure_feature:红页L1HF:1:8
93,0@时间窗 W008,排量特征,"排量变化 起0→止0，变化0，均值0.0001，范围[0, 0.01]",E00045,E00047,fluid_usage:红页L1HF:1:8:0,flow_feature:红页L1HF:1:8
94,0@时间窗 W008,砂比特征,砂比变化：0,E00045,E00048,fluid_usage:红页L1HF:1:8:0,sand_feature:红页L1HF:1:8
95,时间窗 W008,施工特征,"施工泵压变化 起36.53→止0，变化-36.53，均值23.6607，范围[0, 36.66]",E00043,E00046,time_window:红页L1HF:1:8,pressure_feature:红页L1HF:1:8
96,时间窗 W008,施工特征,"排量变化 起0→止0，变化0，均值0.0001，范围[0, 0.01]",E00043,E00047,time_window:红页L1HF:1:8,flow_feature:红页L1HF:1:8
97,时间窗 W008,砂比特征,砂比变化：0,E00043,E00048,time_window:红页L1HF:1:8,sand_feature:红页L1HF:1:8
98,井 红页L1HF,包含段,段 10,E00001,E00049,well:红页L1HF,segment:红页L1HF:10
99,段 10,包含时间窗,时间窗 W001,E00049,E00050,segment:红页L1HF:10,time_window:红页L1HF:10:1
100,时间窗 W001,采用液型,0@时间窗 W001,E00050,E00051,time_window:红页L1HF:10:1,fluid_usage:红页L1HF:10:1:0
101,0@时间窗 W001,液型类别,液型 0,E00051,E00044,fluid_usage:红页L1HF:10:1:0,fluid_type:0
102,0@时间窗 W001,开始时间,2024-01-09 09:59:00,E00051,,fluid_usage:红页L1HF:10:1:0,
103,0@时间窗 W001,结束时间,2024-01-09 09:59:00,E00051,,fluid_usage:红页L1HF:10:1:0,
104,0@时间窗 W001,持续时间,0秒,E00051,,fluid_usage:红页L1HF:10:1:0,
105,0@时间窗 W001,泵压特征,"施工泵压变化 起10.83→止10.83，变化0，均值10.83，范围[10.83, 10.83]",E00051,E00052,fluid_usage:红页L1HF:10:1:0,pressure_feature:红页L1HF:10:1
106,0@时间窗 W001,排量特征,"排量变化 起0→止0，变化0，均值0，范围[0, 0]",E00051,E00053,fluid_usage:红页L1HF:10:1:0,flow_feature:红页L1HF:10:1
107,0@时间窗 W001,砂比特征,砂比变化：0,E00051,E00054,fluid_usage:红页L1HF:10:1:0,sand_feature:红页L1HF:10:1
108,时间窗 W001,施工特征,"施工泵压变化 起10.83→止10.83，变化0，均值10.83，范围[10.83, 10.83]",E00050,E00052,time_window:红页L1HF:10:1,pressure_feature:红页L1HF:10:1
109,时间窗 W001,施工特征,"排量变化 起0→止0，变化0，均值0，范围[0, 0]",E00050,E00053,time_window:红页L1HF:10:1,flow_feature:红页L1HF:10:1
110,时间窗 W001,砂比特征,砂比变化：0,E00050,E00054,time_window:红页L1HF:10:1,sand_feature:红页L1HF:10:1
111,段 10,包含时间窗,时间窗 W002,E00049,E00055,segment:红页L1HF:10,time_window:红页L1HF:10:2
112,时间窗 W002,采用液型,0.25%减阻水@时间窗 W002,E00055,E00056,time_window:红页L1HF:10:2,fluid_usage:红页L1HF:10:2:0.25%减阻水
113,0.25%减阻水@时间窗 W002,液型类别,液型 0.25%减阻水,E00056,E00022,fluid_usage:红页L1HF:10:2:0.25%减阻水,fluid_type:0.25%减阻水
114,0.25%减阻水@时间窗 W002,开始时间,2024-01-09 09:59:10,E00056,,fluid_usage:红页L1HF:10:2:0.25%减阻水,
115,0.25%减阻水@时间窗 W002,结束时间,2024-01-09 10:07:10,E00056,,fluid_usage:红页L1HF:10:2:0.25%减阻水,
116,0.25%减阻水@时间窗 W002,持续时间,8分钟,E00056,,fluid_usage:红页L1HF:10:2:0.25%减阻水,
117,0.25%减阻水@时间窗 W002,泵压特征,"施工泵压变化 起24.09→止76.53，变化52.44，均值60.5994，范围[24.09, 78.33]",E00056,E00057,fluid_usage:红页L1HF:10:2:0.25%减阻水,pressure_feature:红页L1HF:10:2
118,0.25%减阻水@时间窗 W002,排量特征,"排量变化 起0.1→止24，变化23.9，均值15.6749，范围[0.1, 24.12]",E00056,E00058,fluid_usage:红页L1HF:10:2:0.25%减阻水,flow_feature:红页L1HF:10:2
119,0.25%减阻水@时间窗 W002,砂比特征,"砂比变化 起1.8→止5，变化3.2，均值4.5444，范围[1.8, 5]",E00056,E00059,fluid_usage:红页L1HF:10:2:0.25%减阻水,sand_feature:红页L1HF:10:2
120,时间窗 W002,施工特征,"施工泵压变化 起24.09→止76.53，变化52.44，均值60.5994，范围[24.09, 78.33]",E00055,E00057,time_window:红页L1HF:10:2,pressure_feature:红页L1HF:10:2
121,时间窗 W002,施工特征,"排量变化 起0.1→止24，变化23.9，均值15.6749，范围[0.1, 24.12]",E00055,E00058,time_window:红页L1HF:10:2,flow_feature:红页L1HF:10:2
122,时间窗 W002,砂比特征,"砂比变化 起1.8→止5，变化3.2，均值4.5444，范围[1.8, 5]",E00055,E00059,time_window:红页L1HF:10:2,sand_feature:红页L1HF:10:2
123,段 10,包含时间窗,时间窗 W003,E00049,E00060,segment:红页L1HF:10,time_window:红页L1HF:10:3
124,时间窗 W003,采用液型,0.12%减阻水@时间窗 W003,E00060,E00061,time_window:红页L1HF:10:3,fluid_usage:红页L1HF:10:3:0.12%减阻水
125,0.12%减阻水@时间窗 W003,液型类别,液型 0.12%减阻水,E00061,E00010,fluid_usage:红页L1HF:10:3:0.12%减阻水,fluid_type:0.12%减阻水
126,0.12%减阻水@时间窗 W003,开始时间,2024-01-09 10:07:20,E00061,,fluid_usage:红页L1HF:10:3:0.12%减阻水,
127,0.12%减阻水@时间窗 W003,结束时间,2024-01-09 12:04:00,E00061,,fluid_usage:红页L1HF:10:3:0.12%减阻水,
128,0.12%减阻水@时间窗 W003,持续时间,1小时56分钟40秒,E00061,,fluid_usage:红页L1HF:10:3:0.12%减阻水,
129,0.12%减阻水@时间窗 W003,泵压特征,"施工泵压变化 起76.69→止82.61，变化5.92，均值82.324，范围[62.09, 89.44]",E00061,E00062,fluid_usage:红页L1HF:10:3:0.12%减阻水,pressure_feature:红页L1HF:10:3
130,0.12%减阻水@时间窗 W003,排量特征,"排量变化 起24→止24.09，变化0.09，均值23.6797，范围[17.73, 24.15]",E00061,E00063,fluid_usage:红页L1HF:10:3:0.12%减阻水,flow_feature:红页L1HF:10:3
131,0.12%减阻水@时间窗 W003,砂比特征,"砂比变化 起5→止13.1，变化8.1，均值9.4258，范围[0.1, 13.2]",E00061,E00064,fluid_usage:红页L1HF:10:3:0.12%减阻水,sand_feature:红页L1HF:10:3
132,时间窗 W003,施工特征,"施工泵压变化 起76.69→止82.61，变化5.92，均值82.324，范围[62.09, 89.44]",E00060,E00062,time_window:红页L1HF:10:3,pressure_feature:红页L1HF:10:3
133,时间窗 W003,施工特征,"排量变化 起24→止24.09，变化0.09，均值23.6797，范围[17.73, 24.15]",E00060,E00063,time_window:红页L1HF:10:3,flow_feature:红页L1HF:10:3
134,时间窗 W003,砂比特征,"砂比变化 起5→止13.1，变化8.1，均值9.4258，范围[0.1, 13.2]",E00060,E00064,time_window:红页L1HF:10:3,sand_feature:红页L1HF:10:3
135,段 10,包含时间窗,时间窗 W004,E00049,E00065,segment:红页L1HF:10,time_window:红页L1HF:10:4
136,时间窗 W004,采用液型,0.25%减阻水@时间窗 W004,E00065,E00066,time_window:红页L1HF:10:4,fluid_usage:红页L1HF:10:4:0.25%减阻水
137,0.25%减阻水@时间窗 W004,液型类别,液型 0.25%减阻水,E00066,E00022,fluid_usage:红页L1HF:10:4:0.25%减阻水,fluid_type:0.25%减阻水
138,0.25%减阻水@时间窗 W004,开始时间,2024-01-09 12:04:10,E00066,,fluid_usage:红页L1HF:10:4:0.25%减阻水,
139,0.25%减阻水@时间窗 W004,结束时间,2024-01-09 12:06:50,E00066,,fluid_usage:红页L1HF:10:4:0.25%减阻水,
140,0.25%减阻水@时间窗 W004,持续时间,2分钟40秒,E00066,,fluid_usage:红页L1HF:10:4:0.25%减阻水,
141,0.25%减阻水@时间窗 W004,泵压特征,"施工泵压变化 起82.54→止81.92，变化-0.62，均值82.2841，范围[81.92, 82.61]",E00066,E00067,fluid_usage:红页L1HF:10:4:0.25%减阻水,pressure_feature:红页L1HF:10:4
142,0.25%减阻水@时间窗 W004,排量特征,"排量变化 起24.09→止24.09，变化0，均值24.09，范围[24.09, 24.09]",E00066,E00068,fluid_usage:红页L1HF:10:4:0.25%减阻水,flow_feature:红页L1HF:10:4
143,0.25%减阻水@时间窗 W004,砂比特征,"砂比变化 起13.1→止0.7，变化-12.4，均值11.9727，范围[0.7, 13.1]",E00066,E00069,fluid_usage:红页L1HF:10:4:0.25%减阻水,sand_feature:红页L1HF:10:4
144,时间窗 W004,施工特征,"施工泵压变化 起82.54→止81.92，变化-0.62，均值82.2841，范围[81.92, 82.61]",E00065,E00067,time_window:红页L1HF:10:4,pressure_feature:红页L1HF:10:4
145,时间窗 W004,施工特征,"排量变化 起24.09→止24.09，变化0，均值24.09，范围[24.09, 24.09]",E00065,E00068,time_window:红页L1HF:10:4,flow_feature:红页L1HF:10:4
146,时间窗 W004,砂比特征,"砂比变化 起13.1→止0.7，变化-12.4，均值11.9727，范围[0.7, 13.1]",E00065,E00069,time_window:红页L1HF:10:4,sand_feature:红页L1HF:10:4
147,段 10,包含时间窗,时间窗 W005,E00049,E00070,segment:红页L1HF:10,time_window:红页L1HF:10:5
148,时间窗 W005,采用液型,0.12%减阻水@时间窗 W005,E00070,E00071,time_window:红页L1HF:10:5,fluid_usage:红页L1HF:10:5:0.12%减阻水
149,0.12%减阻水@时间窗 W005,液型类别,液型 0.12%减阻水,E00071,E00010,fluid_usage:红页L1HF:10:5:0.12%减阻水,fluid_type:0.12%减阻水
150,0.12%减阻水@时间窗 W005,开始时间,2024-01-09 12:07:00,E00071,,fluid_usage:红页L1HF:10:5:0.12%减阻水,
151,0.12%减阻水@时间窗 W005,结束时间,2024-01-09 12:39:00,E00071,,fluid_usage:红页L1HF:10:5:0.12%减阻水,
152,0.12%减阻水@时间窗 W005,持续时间,32分钟,E00071,,fluid_usage:红页L1HF:10:5:0.12%减阻水,
153,0.12%减阻水@时间窗 W005,泵压特征,"施工泵压变化 起81.89→止0，变化-81.89，均值39.1795，范围[0, 81.91]",E00071,E00072,fluid_usage:红页L1HF:10:5:0.12%减阻水,pressure_feature:红页L1HF:10:5
154,0.12%减阻水@时间窗 W005,排量特征,"排量变化 起24.09→止0，变化-24.09，均值1.741，范围[0, 24.09]",E00071,E00073,fluid_usage:红页L1HF:10:5:0.12%减阻水,flow_feature:红页L1HF:10:5
155,0.12%减阻水@时间窗 W005,砂比特征,砂比变化：0,E00071,E00074,fluid_usage:红页L1HF:10:5:0.12%减阻水,sand_feature:红页L1HF:10:5
156,时间窗 W005,施工特征,"施工泵压变化 起81.89→止0，变化-81.89，均值39.1795，范围[0, 81.91]",E00070,E00072,time_window:红页L1HF:10:5,pressure_feature:红页L1HF:10:5
157,时间窗 W005,施工特征,"排量变化 起24.09→止0，变化-24.09，均值1.741，范围[0, 24.09]",E00070,E00073,time_window:红页L1HF:10:5,flow_feature:红页L1HF:10:5
158,时间窗 W005,砂比特征,砂比变化：0,E00070,E00074,time_window:红页L1HF:10:5,sand_feature:红页L1HF:10:5
159,井 红页L1HF,包含段,段 11,E00001,E00075,well:红页L1HF,segment:红页L1HF:11
160,段 11,包含时间窗,时间窗 W001,E00075,E00076,segment:红页L1HF:11,time_window:红页L1HF:11:1
161,时间窗 W001,采用液型,0@时间窗 W001,E00076,E00077,time_window:红页L1HF:11:1,fluid_usage:红页L1HF:11:1:0
162,0@时间窗 W001,液型类别,液型 0,E00077,E00044,fluid_usage:红页L1HF:11:1:0,fluid_type:0
163,0@时间窗 W001,开始时间,2024-01-09 16:10:00,E00077,,fluid_usage:红页L1HF:11:1:0,
164,0@时间窗 W001,结束时间,2024-01-09 16:10:00,E00077,,fluid_usage:红页L1HF:11:1:0,
165,0@时间窗 W001,持续时间,0秒,E00077,,fluid_usage:红页L1HF:11:1:0,
166,0@时间窗 W001,泵压特征,"施工泵压变化 起21.72→止21.72，变化0，均值21.72，范围[21.72, 21.72]",E00077,E00078,fluid_usage:红页L1HF:11:1:0,pressure_feature:红页L1HF:11:1
167,0@时间窗 W001,排量特征,"排量变化 起0→止0，变化0，均值0，范围[0, 0]",E00077,E00079,fluid_usage:红页L1HF:11:1:0,flow_feature:红页L1HF:11:1
168,0@时间窗 W001,砂比特征,砂比变化：0,E00077,E00080,fluid_usage:红页L1HF:11:1:0,sand_feature:红页L1HF:11:1
